split_regime,design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high,homogeneous_normalized_oracle_opportunity_mean,homogeneous_normalized_oracle_opportunity_n_seed_blocks,homogeneous_normalized_oracle_opportunity_n_outer_units,homogeneous_normalized_oracle_opportunity_low,homogeneous_normalized_oracle_opportunity_high,homogeneous_normalized_selected_gain_mean,homogeneous_normalized_selected_gain_n_seed_blocks,homogeneous_normalized_selected_gain_n_outer_units,homogeneous_normalized_selected_gain_low,homogeneous_normalized_selected_gain_high,homogeneous_normalized_cross_fitted_gap_mean,homogeneous_normalized_cross_fitted_gap_n_seed_blocks,homogeneous_normalized_cross_fitted_gap_n_outer_units,homogeneous_normalized_cross_fitted_gap_low,homogeneous_normalized_cross_fitted_gap_high
scaffold,equal_K,Classical multiview,bace,classification,4,shared_morgan_linear,0.03542345017112934,5,15,0.02614791643768683,0.044698983904571866,0.017240000464520115,5,15,0.009498537658431176,0.025534833480207936,0.018183449706609234,5,15,0.006897753816849488,0.029469145596368984,0.27016178276320074,5,15,0.13333333333164024,0.34482504661464286,0.4666666666666667,5,15,-0.06666666666666665,1.0,0.4898550724637681,5,15,0.2695652173913043,0.7565217391304347,0.017129836652996173,5,15,0.005076729146719957,0.029469145596368977,1.5763678333333995,5,15,1.5470689999560507,1.5996197599840032,0.01009849088761223,5,15,0.005136481060538293,0.01562562300002275,36.35456719540402,5,15,18.491331817937855,56.2522428000819,0.6819931677063696,5,14,0.519424637115173,0.8790044583887383,0.6143081744622799,5,15,0.47505823967145594,0.7490572666496788,0.329650543073986,5,15,0.2179025334909527,0.43852615926978694,0.2672546089607262,5,15,0.08847792648644862,0.4370300599973853
scaffold,equal_K,Classical multiview,bace,classification,8,shared_morgan_linear,0.07884702734102757,5,15,0.07229795989572857,0.08616148115980761,0.07380935118845709,5,15,0.06579107956365558,0.08289862172218596,0.00503767615257047,5,15,0.0019760855187390828,0.008290519181422037,0.06167013245538137,5,15,0.02222920077635996,0.10111106413440277,0.7866666666666667,5,15,0.5733333333333334,1.0,0.4059649913605289,5,15,0.17541882653444515,0.6365111561866125,0.0021720233338956337,5,15,-0.001235592690138117,0.00665971032784188,4.285693466655598,5,15,4.254561126697807,4.320553746726362,0.017223993302995594,5,15,0.015472269099531508,0.01912617637203282,62.00637589078413,5,15,55.41165583981292,68.85423493931816,0.9266188356410865,5,15,0.881825234772856,0.971412436509317,1.0484057011169274,5,15,1.0341961217853453,1.0626152804485094,0.9709880361495398,5,15,0.919393938433538,1.0262222595550814,0.02945763133300263,5,15,-0.015152195048986464,0.08760093533694764
scaffold,equal_K,Classical multiview,bace,classification,16,shared_morgan_linear,0.08391838307665647,5,15,0.07839674828460828,0.09017136307539171,0.07930969320513923,5,15,0.07159596846104345,0.08687884799946144,0.004608689871517258,5,15,0.0019304510725815405,0.006995306176577873,0.054247199113305763,5,15,0.021607656882685355,0.09149769516880615,0.5076923076923077,5,15,0.26153846153846155,0.7538461538461539,0.44920357547437534,5,15,0.18985996751387937,0.7605073842537642,0.0035019619747853913,5,15,0.0009886975164752861,0.006695163101338308,12.250959293338624,5,15,12.008697986606663,12.559970073405808,0.006498447525717916,5,15,0.005905109559736931,0.006976936702214104,23.394411092584498,5,15,21.258394415052955,25.116972127970772,0.9332166560916931,5,15,0.891116767367555,0.9732884225957779,1.076761590835757,5,15,1.065671242125344,1.0867624936614129,1.0047470037052102,5,15,0.9641148862737484,1.0426922165635228,0.05802996575247079,5,15,0.013148150742541092,0.10338714031148681
scaffold,equal_K,Classical multiview,bace,classification,32,shared_morgan_linear,0.08439441698467043,5,15,0.07850891394466004,0.09082936974823623,0.07776728701170824,5,15,0.070512633158091,0.08612085135534624,0.006627129972962198,5,15,0.004440932178661846,0.009050423780800291,0.07262953053128486,5,15,0.04642575356362714,0.1027768935680693,0.5586206896551724,5,15,0.33793103448275863,0.7793103448275862,0.3538015328076152,5,15,0.21058747939118622,0.4463469631251784,0.005044368168216377,5,15,0.0020005332150140553,0.0080882031214187,41.41386744671812,5,15,38.63955071349629,44.1954272134346,0.0019160641896479504,5,15,0.0016969217719797008,0.002083222867933789,6.897831082732621,5,15,6.109729403445918,7.499602324561643,0.9138825262235976,5,15,0.8847388617609975,0.9430261906861979,1.0712790243356292,5,15,1.057086477244446,1.08673088044327,0.9814494746212361,5,15,0.9512544318557528,1.0179287031558482,0.06991369613285056,5,15,0.03113897493629597,0.10868841732940518
scaffold,equal_K,Classical multiview,clintox,classification,4,shared_morgan_linear,0.10519879234960965,5,15,0.08813117845308287,0.12226640624613645,0.07731158588976278,5,15,0.05829047019360467,0.09815362933183758,0.02788720645984687,5,15,0.01747539713692906,0.041727864688124436,0.31651423481666624,5,15,0.2107519973247558,0.40652943839403877,1.0,5,15,1.0,1.0,0.11884057971014483,5,15,-0.15942028985507256,0.4202898550724637,0.018027726923046793,5,15,0.0026963246119059573,0.03699921863826257,1.542100846705337,5,15,1.5246814867171143,1.5595202066935594,0.05168443476366978,5,15,0.03912018715747953,0.06488612787982714,186.0639651492112,5,15,140.83267376692635,233.5900603673777,0.6463580771324928,5,15,0.5245539447708369,0.7774721394893571,1.317777739727602,5,15,1.1035139606261213,1.5538813537881997,0.9496196773190111,5,15,0.7194041997136043,1.2465807076831115,0.23541307344856613,5,15,0.06331903974013009,0.4237898099222603
scaffold,equal_K,Classical multiview,clintox,classification,8,shared_morgan_linear,0.15599705736718164,5,15,0.14349024105206626,0.16850387368229702,0.14232882327936786,5,15,0.1383230084320304,0.14583905495327032,0.01366823408781379,5,15,0.004066863158944008,0.023269605016683577,0.08834639503967442,5,15,0.030176862582352037,0.14735602670520684,0.6799999999999999,5,15,0.4666666666666666,0.8933333333333333,0.43625572834497783,5,15,0.25114566899556756,0.6297798813011795,-0.00375357518344058,5,15,-0.011265382363807771,0.005421467475693098,4.248111826647071,5,15,4.193921593219661,4.302302060074482,0.03350392025660732,5,15,0.03225134396469609,0.034689451018956444,120.61411292378637,5,15,116.10483827290591,124.8820236682432,0.9084823014728938,5,15,0.8474979693930853,0.9694666335527021,1.5782464120098831,5,15,1.3654893955302585,1.791003428489508,1.424292798519853,5,15,1.2477071690105679,1.6301590701089126,-0.039656978308297654,5,15,-0.10583162822199665,0.03565914375409671
scaffold,equal_K,Classical multiview,clintox,classification,16,shared_morgan_linear,0.18482482458916244,5,15,0.17173669137781528,0.19640411047416245,0.17602339254329571,5,15,0.16206989090814902,0.18853492747513814,0.00880143204586675,5,15,0.0015717509624319614,0.016031113129301538,0.04410356575530843,5,15,0.00904161893847412,0.07916551257214274,0.8358974358974359,5,15,0.6717948717948719,1.0,0.7725826421905493,5,15,0.5854161441703818,0.9577365972212526,0.004768010451661064,5,15,0.0,0.012826489983824806,12.08095044658985,5,15,11.652263066552889,12.519982680100172,0.014615011071716316,5,15,0.013317242695292497,0.015912779448140135,52.61403985817874,5,15,47.942073703052976,57.28600601330449,0.9536394421525525,5,15,0.9163205032436311,0.9909583810614737,1.7251025359780487,5,15,1.601564799102998,1.8470181749318406,1.6494111350398566,5,15,1.5164033334140288,1.7824129218565965,0.04126292484935119,5,15,0.0,0.11109695500265156
scaffold,equal_K,Classical multiview,clintox,classification,32,shared_morgan_linear,0.18842176131725807,5,15,0.17702993922967197,0.19984985214567041,0.17205079773636095,5,15,0.16048082305254407,0.18334450676028496,0.016370963580897104,5,15,0.008648724430506674,0.024063976120783318,0.08294286243155444,5,15,0.04436519619153848,0.12325920904301044,0.4114942528735632,5,15,0.11724137931034484,0.632183908045977,0.25170960066027015,5,15,0.10458440108161075,0.3988348002389294,0.008740605258595806,5,15,0.002242504787362854,0.015821421376021397,39.74828209337235,5,15,37.85438436005497,41.82975675340664,0.004395315958713347,5,15,0.004012343092058033,0.004755781050733092,15.823137451368046,5,15,14.444435131408918,17.12081178263913,0.9148001454761003,5,15,0.8744837988644265,0.9536583553029052,1.5504271994372303,5,15,1.512251695832443,1.5897024461325326,1.4207673194498038,5,15,1.3387010666763937,1.4970124340545397,0.06878775723869741,5,15,0.018622169530526277,0.1208697218997092
scaffold,equal_K,Classical multiview,esol,regression,4,shared_morgan_linear,2.201285844343415,5,15,2.201285844343415,2.201285844343415,2.201285844343415,5,15,2.201285844343415,2.201285844343415,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0,0.354980100039392,5,15,0.3469685533472019,0.36595220671345724,6.201381559030905,5,15,6.017690457223681,6.3470892462673225,22324.973612511258,5,15,21663.68564600526,22849.52128656236,1.0,5,15,1.0,1.0,1.7427697394659678,5,15,1.7427697394659678,1.7427697394659678,1.7427697394659678,5,15,1.7427697394659678,1.7427697394659678,0.0,5,15,0.0,0.0
scaffold,equal_K,Classical multiview,esol,regression,8,shared_morgan_linear,2.2109593040401756,5,15,2.2078331025545266,2.2129572789894865,2.1527045606329454,5,15,2.1468740431662794,2.158535078099611,0.05825474340723039,5,15,0.05380042078168481,0.0621979642263753,0.031388696236312255,5,15,0.029003060967809663,0.03347616765510196,1.0,5,15,1.0,1.0,0.27638794981594167,5,15,0.17541882653444515,0.32687251145668994,0.04858128371046973,5,15,0.04275076624380408,0.05441180117713538,2.0219858666804296,5,15,1.9983352600519217,2.056346826674415,1.0655333478698943,5,15,1.0504861952784925,1.075795057662825,3835.92005233162,5,15,3781.7503030025728,3872.86220758617,0.9686113037636707,5,15,0.96652383234488,0.9709969390321748,1.7366673176562497,5,15,1.7313674955234064,1.7409816431462979,1.6715606627609159,5,15,1.66369533925173,1.680029437572151,0.06088440308710326,5,15,0.0557759364731487,0.0659928697010578
