split_regime,pool,task,task_type,candidate_count,transformation,n_outer_units,n_matrix_columns,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank
similarity_cluster,Classical multiview,bace,classification,32,within_unit_rank,15,32,12.698436024271874,6.590790382782687,-0.024929968375515626,0.2604473936979021,"[0.00813898105305942, 0.008138981053059427, 0.00813898105305943, 0.008138981053059434, 0.008138981053059434, 0.008138981053059435, 0.008138981053059439, 0.008138981053059442, 0.008138981053059442, 0.008138981053059444, 0.008138981053059447, 0.00813898105305945, 0.008138981053059451, 0.008138981053059451, 0.008138981053059451, 0.00813898105305946, 0.008138981053059473, 0.008138981053059475, 0.010355097124957295, 0.011679636265536777, 0.012244827017508442, 0.013899705029452791, 0.016537111688677962, 0.019110693602800582, 0.021760377177658836, 0.026744658473295494, 0.03822124914968088, 0.05139218693558508, 0.05553197555603442, 0.06449207223616872, 0.20124671049999937, 0.31028204028757356]",0.3968261257584961
similarity_cluster,Classical multiview,clintox,classification,4,raw,15,4,3.6703866204964495,3.393705588251276,0.21182266511242737,0.47119283984675636,"[0.13557622744379083, 0.18823019489731613, 0.2598895024286939, 0.41630407523019924]",0.9175966551241124
similarity_cluster,Classical multiview,clintox,classification,4,row_centred,15,4,3.550135313896266,3.212458987869453,-0.2701925519397283,0.4339414082868663,"[0.1084853520717165, 0.19610096224178727, 0.24956596298038697, 0.4458477227061093]",0.8875338284740665
similarity_cluster,Classical multiview,clintox,classification,4,shared_morgan_linear_relative,15,4,2.7433246350535176,2.522301967048327,0.2943480820289873,0.47416672469987226,"[0.2076192676752991, 0.25579117955450587, 0.536589552770195]",0.6858311587633794
similarity_cluster,Classical multiview,clintox,classification,4,fixed_morgan_rf_relative,15,4,3.651049841943612,3.336570698310634,0.23879263870610418,0.5175528630293188,"[0.14859711629997732, 0.1819464175748434, 0.23364080062796097, 0.43581566549721823]",0.912762460485903
similarity_cluster,Classical multiview,clintox,classification,4,registry_median_relative,15,4,2.375025764493496,2.004133992432191,0.46289244825184245,0.3119818690225727,"[0.13320152352466055, 0.20366440365345773, 0.6631340728218817]",0.593756441123374
similarity_cluster,Classical multiview,clintox,classification,4,within_unit_rank,15,4,3.923947695602041,3.846215703098416,-0.12038310456985743,0.7884447773216388,"[0.19711119433040966, 0.22951956028941786, 0.24147609872571463, 0.3318931466544578]",0.9809869239005102
similarity_cluster,Classical multiview,clintox,classification,8,raw,15,8,6.181130483845316,4.90126800382201,0.2558463331619004,0.3654264136051623,"[0.04989619074391586, 0.0534526594032408, 0.056626655044086885, 0.08226853619708642, 0.09411181608285774, 0.10157119492421546, 0.20497535597144717, 0.35709759163314975]",0.7726413104806645
similarity_cluster,Classical multiview,clintox,classification,8,row_centred,15,8,6.767846982996177,5.705949484391914,-0.0840096945284968,0.4512786096763365,"[0.05640982620954204, 0.0682588727339767, 0.07310628941974852, 0.08011286609559706, 0.11469535014427641, 0.1429014671462805, 0.14802990976728736, 0.31648541848329137]",0.8459808728745222
similarity_cluster,Classical multiview,clintox,classification,8,shared_morgan_linear_relative,15,8,3.212479750145506,2.077108560925802,0.6455642826650909,0.15566461852189903,"[0.02549320845165422, 0.02661096819835005, 0.045056917467908734, 0.05772741672336782, 0.06267237480435335, 0.10426612241623849, 0.6781729919381273]",0.4015599687681882
similarity_cluster,Classical multiview,clintox,classification,8,fixed_morgan_rf_relative,15,8,5.206389543760955,4.038369406971316,0.31879141736971295,0.3353958702362961,"[0.056604334405050964, 0.06024959084797215, 0.06515373919540086, 0.08263000739256707, 0.11095062034752412, 0.20622737849008693, 0.41818432932139793]",0.6507986929701194
similarity_cluster,Classical multiview,clintox,classification,8,registry_median_relative,15,8,4.145517393592975,2.817145336343294,0.5359922901458192,0.22803827287329237,"[0.036472817166141536, 0.037989823375358264, 0.06132863542004019, 0.0790198571013356, 0.08036781464066567, 0.14343075951049958, 0.5613902927859591]",0.5181896741991219
similarity_cluster,Classical multiview,clintox,classification,8,within_unit_rank,15,8,7.962513997146856,7.924063625404674,-0.02447176464212535,0.8895764167181442,"[0.11119705208976809, 0.11206001235529646, 0.11708281822540505, 0.12022875263887393, 0.12431845439257928, 0.1278456872630972, 0.1385601741778315, 0.1487070488571485]",0.995314249643357
similarity_cluster,Classical multiview,clintox,classification,16,raw,15,16,8.280060431609309,4.795038883949419,0.3400114401032511,0.26641452409686683,"[0.01665090775605417, 0.016650907756054194, 0.016969442998677635, 0.018084743652445893, 0.018582280893288318, 0.021138687212529587, 0.021969360308863765, 0.022860652950563342, 0.026469613047746664, 0.03294396438331392, 0.03767050075701697, 0.05542169075966515, 0.06420865751213212, 0.07967193960377558, 0.1389786634766573, 0.4117279869312154]",0.5175037769755818
similarity_cluster,Classical multiview,clintox,classification,16,row_centred,15,16,13.174272504603122,10.631977650409961,-0.04380460600509373,0.5188797935793776,"[0.032429987098711095, 0.03242998709871112, 0.032561273679278156, 0.03302105958072111, 0.03489817188573641, 0.03614553618327185, 0.04016008769012743, 0.04226675887469711, 0.045128980542553584, 0.046893625014105586, 0.05749167816577217, 0.06979158795317947, 0.07626466425011691, 0.08588185803151438, 0.13352272997682935, 0.20111201397467438]",0.8233920315376951
similarity_cluster,Classical multiview,clintox,classification,16,shared_morgan_linear_relative,15,16,3.2793136934013454,1.8114156973102842,0.7259492893886825,0.10325781872837934,"[0.006883854581891948, 0.006930427977455705, 0.007025553730760184, 0.007407265816290108, 0.0084527353136449, 0.008783613574253876, 0.00971284780375977, 0.010899772836252875, 0.013957809598793872, 0.018057563192596368, 0.026761829058526015, 0.028297270531136832, 0.04472400446660397, 0.06507031097929074, 0.7370351405387428]",0.20495710583758409
similarity_cluster,Classical multiview,clintox,classification,16,fixed_morgan_rf_relative,15,16,6.411431181670982,3.512068463344225,0.4592173700753787,0.20212974791286895,"[0.013475316527524601, 0.01356737479030723, 0.013993908494077612, 0.014901151505346133, 0.016240916465140028, 0.01841378452705974, 0.02029534009688573, 0.02314462677275659, 0.026442352578591642, 0.035868285274716666, 0.04754421533735664, 0.05590527475849049, 0.06680079751186004, 0.1296704117933803, 0.5037362435665066]",0.40071444885443636
