split_regime,design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high,homogeneous_normalized_oracle_opportunity_mean,homogeneous_normalized_oracle_opportunity_n_seed_blocks,homogeneous_normalized_oracle_opportunity_n_outer_units,homogeneous_normalized_oracle_opportunity_low,homogeneous_normalized_oracle_opportunity_high,homogeneous_normalized_selected_gain_mean,homogeneous_normalized_selected_gain_n_seed_blocks,homogeneous_normalized_selected_gain_n_outer_units,homogeneous_normalized_selected_gain_low,homogeneous_normalized_selected_gain_high,homogeneous_normalized_cross_fitted_gap_mean,homogeneous_normalized_cross_fitted_gap_n_seed_blocks,homogeneous_normalized_cross_fitted_gap_n_outer_units,homogeneous_normalized_cross_fitted_gap_low,homogeneous_normalized_cross_fitted_gap_high,record_type
scaffold,equal_K,Classical multiview,bace,classification,4,shared_morgan_linear,0.0354234501711293,5,15,0.0261479164376868,0.0446989839045718,0.0172400004645201,5,15,0.0094985376584311,0.0255348334802079,0.0181834497066092,5,15,0.0068977538168494,0.0294691455963689,0.2701617827632007,5,15,0.1333333333316402,0.3448250466146428,0.4666666666666667,5,15,-0.0666666666666666,1.0,0.4898550724637681,5,15,0.2695652173913043,0.7565217391304347,0.0171298366529961,5,15,0.0050767291467199,0.0294691455963689,1.5763678333333997,5,15,1.5470689999560507,1.5996197599840032,0.0100984908876122,5,15,0.0051364810605382,0.0156256230000227,36.35456719540402,5,15,18.49133181793785,56.2522428000819,0.6819931677063696,5,14,0.519424637115173,0.8790044583887383,0.6143081744622799,5,15,0.4750582396714559,0.7490572666496788,0.329650543073986,5,15,0.2179025334909527,0.4385261592697869,0.2672546089607262,5,15,0.0884779264864486,0.4370300599973853,regime_summary
scaffold,equal_K,Classical multiview,bace,classification,8,shared_morgan_linear,0.0788470273410275,5,15,0.0722979598957285,0.0861614811598076,0.073809351188457,5,15,0.0657910795636555,0.0828986217221859,0.0050376761525704,5,15,0.001976085518739,0.008290519181422,0.0616701324553813,5,15,0.0222292007763599,0.1011110641344027,0.7866666666666667,5,15,0.5733333333333334,1.0,0.4059649913605289,5,15,0.1754188265344451,0.6365111561866125,0.0021720233338956,5,15,-0.0012355926901381,0.0066597103278418,4.285693466655598,5,15,4.254561126697807,4.320553746726362,0.0172239933029955,5,15,0.0154722690995315,0.0191261763720328,62.00637589078413,5,15,55.41165583981292,68.85423493931816,0.9266188356410864,5,15,0.881825234772856,0.971412436509317,1.0484057011169274,5,15,1.0341961217853453,1.0626152804485094,0.9709880361495398,5,15,0.919393938433538,1.0262222595550814,0.0294576313330026,5,15,-0.0151521950489864,0.0876009353369476,regime_summary
scaffold,equal_K,Classical multiview,bace,classification,16,shared_morgan_linear,0.0839183830766564,5,15,0.0783967482846082,0.0901713630753917,0.0793096932051392,5,15,0.0715959684610434,0.0868788479994614,0.0046086898715172,5,15,0.0019304510725815,0.0069953061765778,0.0542471991133057,5,15,0.0216076568826853,0.0914976951688061,0.5076923076923077,5,15,0.2615384615384615,0.7538461538461539,0.4492035754743753,5,15,0.1898599675138793,0.7605073842537642,0.0035019619747853,5,15,0.0009886975164752,0.0066951631013383,12.250959293338624,5,15,12.008697986606665,12.559970073405808,0.0064984475257179,5,15,0.0059051095597369,0.0069769367022141,23.394411092584495,5,15,21.258394415052955,25.11697212797077,0.9332166560916932,5,15,0.891116767367555,0.973288422595778,1.076761590835757,5,15,1.065671242125344,1.0867624936614129,1.0047470037052102,5,15,0.9641148862737484,1.0426922165635228,0.0580299657524707,5,15,0.013148150742541,0.1033871403114868,regime_summary
scaffold,equal_K,Classical multiview,bace,classification,32,shared_morgan_linear,0.0843944169846704,5,15,0.07850891394466,0.0908293697482362,0.0777672870117082,5,15,0.070512633158091,0.0861208513553462,0.0066271299729621,5,15,0.0044409321786618,0.0090504237808002,0.0726295305312848,5,15,0.0464257535636271,0.1027768935680693,0.5586206896551724,5,15,0.3379310344827586,0.7793103448275862,0.3538015328076152,5,15,0.2105874793911862,0.4463469631251784,0.0050443681682163,5,15,0.002000533215014,0.0080882031214187,41.41386744671812,5,15,38.63955071349629,44.1954272134346,0.0019160641896479,5,15,0.0016969217719797,0.0020832228679337,6.897831082732621,5,15,6.109729403445918,7.499602324561643,0.9138825262235976,5,15,0.8847388617609975,0.943026190686198,1.0712790243356292,5,15,1.057086477244446,1.08673088044327,0.981449474621236,5,15,0.9512544318557528,1.0179287031558482,0.0699136961328505,5,15,0.0311389749362959,0.1086884173294051,regime_summary
scaffold,equal_K,Classical multiview,clintox,classification,4,shared_morgan_linear,0.1051987923496096,5,15,0.0881311784530828,0.1222664062461364,0.0773115858897627,5,15,0.0582904701936046,0.0981536293318375,0.0278872064598468,5,15,0.017475397136929,0.0417278646881244,0.3165142348166662,5,15,0.2107519973247558,0.4065294383940387,1.0,5,15,1.0,1.0,0.1188405797101448,5,15,-0.1594202898550725,0.4202898550724637,0.0180277269230467,5,15,0.0026963246119059,0.0369992186382625,1.542100846705337,5,15,1.5246814867171143,1.5595202066935594,0.0516844347636697,5,15,0.0391201871574795,0.0648861278798271,186.0639651492112,5,15,140.83267376692635,233.5900603673777,0.6463580771324928,5,15,0.5245539447708369,0.7774721394893571,1.317777739727602,5,15,1.1035139606261213,1.5538813537881997,0.9496196773190112,5,15,0.7194041997136043,1.2465807076831117,0.2354130734485661,5,15,0.06331903974013,0.4237898099222603,regime_summary
scaffold,equal_K,Classical multiview,clintox,classification,8,shared_morgan_linear,0.1559970573671816,5,15,0.1434902410520662,0.168503873682297,0.1423288232793678,5,15,0.1383230084320304,0.1458390549532703,0.0136682340878137,5,15,0.004066863158944,0.0232696050166835,0.0883463950396744,5,15,0.030176862582352,0.1473560267052068,0.6799999999999999,5,15,0.4666666666666666,0.8933333333333333,0.4362557283449778,5,15,0.2511456689955675,0.6297798813011795,-0.0037535751834405,5,15,-0.0112653823638077,0.005421467475693,4.248111826647071,5,15,4.193921593219661,4.302302060074482,0.0335039202566073,5,15,0.032251343964696,0.0346894510189564,120.61411292378637,5,15,116.10483827290592,124.8820236682432,0.9084823014728938,5,15,0.8474979693930853,0.969466633552702,1.5782464120098831,5,15,1.3654893955302585,1.791003428489508,1.424292798519853,5,15,1.247707169010568,1.6301590701089126,-0.0396569783082976,5,15,-0.1058316282219966,0.0356591437540967,regime_summary
scaffold,equal_K,Classical multiview,clintox,classification,16,shared_morgan_linear,0.1848248245891624,5,15,0.1717366913778152,0.1964041104741624,0.1760233925432957,5,15,0.162069890908149,0.1885349274751381,0.0088014320458667,5,15,0.0015717509624319,0.0160311131293015,0.0441035657553084,5,15,0.0090416189384741,0.0791655125721427,0.8358974358974359,5,15,0.6717948717948719,1.0,0.7725826421905493,5,15,0.5854161441703818,0.9577365972212526,0.004768010451661,5,15,0.0,0.0128264899838248,12.08095044658985,5,15,11.652263066552887,12.519982680100172,0.0146150110717163,5,15,0.0133172426952924,0.0159127794481401,52.61403985817874,5,15,47.942073703052976,57.28600601330449,0.9536394421525524,5,15,0.9163205032436312,0.9909583810614736,1.7251025359780487,5,15,1.601564799102998,1.8470181749318408,1.6494111350398566,5,15,1.5164033334140288,1.7824129218565965,0.0412629248493511,5,15,0.0,0.1110969550026515,regime_summary
scaffold,equal_K,Classical multiview,clintox,classification,32,shared_morgan_linear,0.188421761317258,5,15,0.1770299392296719,0.1998498521456704,0.1720507977363609,5,15,0.160480823052544,0.1833445067602849,0.0163709635808971,5,15,0.0086487244305066,0.0240639761207833,0.0829428624315544,5,15,0.0443651961915384,0.1232592090430104,0.4114942528735632,5,15,0.1172413793103448,0.632183908045977,0.2517096006602701,5,15,0.1045844010816107,0.3988348002389294,0.0087406052585958,5,15,0.0022425047873628,0.0158214213760213,39.74828209337235,5,15,37.85438436005497,41.82975675340664,0.0043953159587133,5,15,0.004012343092058,0.004755781050733,15.823137451368046,5,15,14.444435131408918,17.12081178263913,0.9148001454761004,5,15,0.8744837988644265,0.9536583553029052,1.5504271994372305,5,15,1.512251695832443,1.5897024461325326,1.4207673194498038,5,15,1.3387010666763937,1.4970124340545397,0.0687877572386974,5,15,0.0186221695305262,0.1208697218997092,regime_summary
scaffold,equal_K,Classical multiview,esol,regression,4,shared_morgan_linear,2.201285844343415,5,15,2.201285844343415,2.201285844343415,2.201285844343415,5,15,2.201285844343415,2.201285844343415,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0,0.354980100039392,5,15,0.3469685533472019,0.3659522067134572,6.201381559030905,5,15,6.017690457223681,6.3470892462673225,22324.973612511258,5,15,21663.68564600526,22849.52128656236,1.0,5,15,1.0,1.0,1.7427697394659678,5,15,1.7427697394659678,1.7427697394659678,1.7427697394659678,5,15,1.7427697394659678,1.7427697394659678,0.0,5,15,0.0,0.0,regime_summary
scaffold,equal_K,Classical multiview,esol,regression,8,shared_morgan_linear,2.210959304040176,5,15,2.2078331025545266,2.2129572789894865,2.1527045606329454,5,15,2.1468740431662794,2.158535078099611,0.0582547434072303,5,15,0.0538004207816848,0.0621979642263753,0.0313886962363122,5,15,0.0290030609678096,0.0334761676551019,1.0,5,15,1.0,1.0,0.2763879498159416,5,15,0.1754188265344451,0.3268725114566899,0.0485812837104697,5,15,0.042750766243804,0.0544118011771353,2.0219858666804296,5,15,1.9983352600519215,2.056346826674415,1.0655333478698945,5,15,1.0504861952784923,1.075795057662825,3835.92005233162,5,15,3781.7503030025728,3872.86220758617,0.9686113037636708,5,15,0.96652383234488,0.9709969390321748,1.7366673176562497,5,15,1.7313674955234064,1.740981643146298,1.671560662760916,5,15,1.66369533925173,1.680029437572151,0.0608844030871032,5,15,0.0557759364731487,0.0659928697010578,regime_summary
