anchor_scheme,pool,task,task_type,candidate_count,normalization,metric,normalized_mean,minimum_absolute_denominator,invalid_outer_units,normalized_low,normalized_high
registry_median_order_2,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.0,0.0,14,0.0,0.0
registry_median_order_2,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0,14,1.0,1.0
registry_median_order_2,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,selected_model_gain,0.0,0.0,14,0.0,0.0
registry_median_order_2,Homogeneous Morgan,bace,classification,4,raw,cross_fitted_selection_gap,0.0016659281094862,1.0,0,0.0,0.0049977843284588
registry_median_order_2,Homogeneous Morgan,bace,classification,4,raw,oracle_opportunity_gain,0.0006163194444444,1.0,0,0.0,0.0018489583333333
registry_median_order_2,Homogeneous Morgan,bace,classification,4,raw,selected_model_gain,-0.0016659281094862,1.0,0,-0.0049977843284588,0.0
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.1215495953568209,0.0137057478850158,0,0.0,0.3646487860704627
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,4.076920350449642,0.0137057478850158,0,3.762084724251728,4.3917559766475565
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,endpoint_MAD,selected_model_gain,3.910402800799845,0.0137057478850158,0,3.6020693928738643,4.2409927811614665
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.031147934678194,0.0297771282426013,0,0.0,0.0934438040345821
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0297771282426013,0,1.0,1.0
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,selected_model_gain,0.9533836557357496,0.0297771282426013,0,0.8910877863793614,1.0
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,raw,cross_fitted_selection_gap,0.0016659281094862,1.0,0,0.0,0.0049977843284588
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,raw,oracle_opportunity_gain,0.0558772424705533,1.0,0,0.0515621847526636,0.0601923001884431
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,raw,selected_model_gain,0.0535949949166226,1.0,0,0.0493690549630614,0.0580085181171496
fixed_morgan_rf,Modern-augmented,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.8361463444806814,0.0140449497876955,0,0.0,2.508439033442044
fixed_morgan_rf,Modern-augmented,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,-2.687841697756134,0.0140449497876955,0,-3.163967005430711,-2.159585585003016
fixed_morgan_rf,Modern-augmented,bace,classification,4,endpoint_MAD,selected_model_gain,-3.535125796392778,0.0140449497876955,0,-4.709512722434644,-2.7511102569906365
fixed_morgan_rf,Modern-augmented,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,-0.5882555235030268,0.0004045096299389,0,-1.7647665705090805,0.0
fixed_morgan_rf,Modern-augmented,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,6.393983471087816,0.0004045096299389,0,1.9438946773283887,12.191839010362298
fixed_morgan_rf,Modern-augmented,bace,classification,4,homogeneous_audit_best,selected_model_gain,6.994050519582887,0.0004045096299389,0,2.9016617201147388,12.369047849701529
fixed_morgan_rf,Modern-augmented,bace,classification,4,raw,cross_fitted_selection_gap,0.0117436334233963,1.0,0,0.0,0.035230900270189
fixed_morgan_rf,Modern-augmented,bace,classification,4,raw,oracle_opportunity_gain,-0.0377506016822592,1.0,0,-0.0444377577211997,-0.0292894529153763
fixed_morgan_rf,Modern-augmented,bace,classification,4,raw,selected_model_gain,-0.0496506643035237,1.0,0,-0.0661448697111079,-0.0386392054198476
registry_median_order_2,Modern-augmented,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.1672843101481669,0.0702016430171771,0,0.0,0.5018529304445007
registry_median_order_2,Modern-augmented,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,2.445981544041481,0.0702016430171771,0,2.018191491032065,3.097820831174572
registry_median_order_2,Modern-augmented,bace,classification,4,endpoint_MAD,selected_model_gain,2.2764689498938937,0.0702016430171771,0,1.594945642356003,3.0262048939509083
registry_median_order_2,Modern-augmented,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.0,0.0,14,0.0,0.0
registry_median_order_2,Modern-augmented,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,15.500000000000126,0.0,14,15.500000000000126,15.500000000000126
registry_median_order_2,Modern-augmented,bace,classification,4,homogeneous_audit_best,selected_model_gain,15.500000000000126,0.0,14,15.500000000000126,15.500000000000126
registry_median_order_2,Modern-augmented,bace,classification,4,raw,cross_fitted_selection_gap,0.0117436334233963,1.0,0,0.0,0.035230900270189
registry_median_order_2,Modern-augmented,bace,classification,4,raw,oracle_opportunity_gain,0.1717119231814037,1.0,0,0.1416803585937374,0.2174721121212922
