split_regime,pool,task,task_type,candidate_count,candidate_selection_entropy,candidate_selection_entropy_normalized,entropy_denominator_candidate_count,representation_selection_entropy_normalized,family_selection_entropy_normalized,modal_candidate,modal_candidate_share,leave_one_seed_out_agreement,mean_adjacent_fold_switches_per_seed,max_adjacent_fold_switches
scaffold,Modern-augmented,clintox,classification,4,-0.0,-0.0,4,-0.0,-0.0,maccs__linear,1.0,1.0,0.0,0
scaffold,Modern-augmented,clintox,classification,8,0.8532361505557784,0.4103198543713368,8,0.7766490138119515,-0.0,maccs__linear,0.6,0.6,1.0,2
scaffold,Modern-augmented,clintox,classification,16,1.0437570363314086,0.3764557750520712,16,0.9500685975366212,-0.0,maccs__random_forest,0.4666666666666667,0.4666666666666667,2.0,2
scaffold,Modern-augmented,clintox,classification,32,0.3926744672275521,0.113301901310581,32,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.6,2
scaffold,Classical multiview,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0
scaffold,Classical multiview,esol,regression,8,-0.0,-0.0,8,-0.0,-0.0,rdkit2d__random_forest,1.0,1.0,0.0,0
scaffold,Classical multiview,esol,regression,16,0.6365141682948128,0.2295739585136223,16,0.9182958340544894,-0.0,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2
scaffold,Classical multiview,esol,regression,32,1.6170531525095535,0.4665829127958795,32,0.9709505944546688,0.7773048806327834,multiview__lightgbm,0.3333333333333333,0.3333333333333333,2.0,2
scaffold,Homogeneous Morgan,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0
scaffold,Homogeneous Morgan,esol,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1
scaffold,Homogeneous Morgan,esol,regression,16,0.6365141682948128,0.2295739585136223,16,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1
scaffold,Homogeneous Morgan,esol,regression,32,0.6365141682948128,0.1836591668108979,32,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1
scaffold,Modern-augmented,esol,regression,4,0.6365141682948128,0.4591479170272447,4,0.9182958340544894,-0.0,chemberta_mtr__linear,0.6666666666666666,0.6666666666666666,0.8,1
scaffold,Modern-augmented,esol,regression,8,0.3926744672275521,0.1888365021843017,8,0.5665095065529053,-0.0,rdkit2d__linear,0.8666666666666667,0.8666666666666667,0.4,1
scaffold,Modern-augmented,esol,regression,16,0.2449300267946353,0.0883398337553553,16,0.3533593350214213,0.3533593350214213,rdkit2d__random_forest,0.9333333333333332,0.9333333333333332,0.2,1
scaffold,Modern-augmented,esol,regression,32,0.6365141682948128,0.1836591668108979,32,0.9182958340544894,-0.0,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2
similarity_cluster,Classical multiview,bace,classification,4,1.2654130965141723,0.912802599508472,4,0.912802599508472,-0.0,rdkit2d__linear,0.3333333333333333,0.1333333333333333,1.8,2
similarity_cluster,Classical multiview,bace,classification,8,0.9502705392332348,0.4569835314848896,8,0.8649735207179272,-0.0,multiview__random_forest,0.6,0.6,1.4,2
similarity_cluster,Classical multiview,bace,classification,16,1.4019454593787286,0.5056449404606229,16,0.9967916319816368,0.7766490138119515,rdkit2d__extra_trees,0.4,0.0666666666666666,1.2,2
similarity_cluster,Classical multiview,bace,classification,32,1.71408754118701,0.4945811190640112,32,0.7219280948873623,0.8312595767133785,multiview__random_forest_alt,0.4,0.4,1.8,2
similarity_cluster,Homogeneous Morgan,bace,classification,4,0.2449300267946353,0.1766796675107106,4,-0.0,-0.0,hom::order01,0.9333333333333332,0.9333333333333332,0.2,1
similarity_cluster,Homogeneous Morgan,bace,classification,8,0.9908353864438492,0.4764910994532804,8,-0.0,-0.0,hom::order07,0.4666666666666667,0.3333333333333333,1.8,2
similarity_cluster,Homogeneous Morgan,bace,classification,16,1.7140875411870102,0.6182263988300142,16,-0.0,-0.0,hom::order08,0.2666666666666666,0.1333333333333333,1.8,2
similarity_cluster,Homogeneous Morgan,bace,classification,32,1.806507165261669,0.521247785730678,32,-0.0,0.3533593350214213,hom::order08,0.2666666666666666,0.1333333333333333,1.8,2
similarity_cluster,Modern-augmented,bace,classification,4,1.2105578441774711,0.8732328992520361,4,0.8732328992520361,0.9967916319816368,chemprop_dmpnn,0.4666666666666667,0.4666666666666667,1.6,2
similarity_cluster,Modern-augmented,bace,classification,8,1.1710598699903711,0.5631607556730609,8,0.8447411335095913,0.9182958340544894,molformer__linear,0.4666666666666667,0.3333333333333333,2.0,2
similarity_cluster,Modern-augmented,bace,classification,16,1.39539709232679,0.5032831162926847,16,0.8670089610455387,0.7219280948873623,multiview__random_forest,0.4666666666666667,0.4666666666666667,1.6,2
similarity_cluster,Modern-augmented,bace,classification,32,1.709472776584213,0.4932495794625462,32,0.8527936308491302,0.8909685317733521,rdkit2d__extra_trees,0.3333333333333333,0.0666666666666666,1.4,2
similarity_cluster,Classical multiview,clintox,classification,4,0.8532361505557784,0.6154797815570052,4,0.7766490138119515,-0.0,maccs__linear,0.6,0.6,1.6,2
similarity_cluster,Classical multiview,clintox,classification,8,1.0851886129676505,0.5218654101192007,8,0.9877812438119244,-0.0,maccs__random_forest,0.4,0.4,1.4,2
similarity_cluster,Classical multiview,clintox,classification,16,0.5004024235381879,0.1804820237218405,16,0.7219280948873623,-0.0,multiview__lightgbm,0.8,0.8,0.6,1
similarity_cluster,Classical multiview,clintox,classification,32,0.9276173343271816,0.2676537856152929,32,0.8366407419411673,0.5665095065529053,multiview__xgboost,0.6,0.6,1.4,2
similarity_cluster,Homogeneous Morgan,clintox,classification,4,-0.0,-0.0,4,-0.0,-0.0,hom::order01,1.0,1.0,0.0,0
similarity_cluster,Homogeneous Morgan,clintox,classification,8,1.4019454593787286,0.6741932539474972,8,-0.0,0.5665095065529053,hom::order06,0.4,0.4,1.6,2
similarity_cluster,Homogeneous Morgan,clintox,classification,16,1.806507165261669,0.6515597321633475,16,-0.0,0.3533593350214213,hom::order12,0.2666666666666666,0.0,1.6,2
similarity_cluster,Homogeneous Morgan,clintox,classification,32,2.338371704803573,0.6747114524550372,32,-0.0,0.9709505944546688,hom::order23,0.1333333333333333,0.0,2.0,2
similarity_cluster,Modern-augmented,clintox,classification,4,-0.0,-0.0,4,-0.0,-0.0,maccs__linear,1.0,1.0,0.0,0
similarity_cluster,Modern-augmented,clintox,classification,8,1.0606018056124555,0.51004165510499,8,0.9654013672997088,-0.0,maccs__linear,0.4666666666666667,0.4666666666666667,1.6,2
similarity_cluster,Modern-augmented,clintox,classification,16,1.235144651532666,0.445484265886676,16,0.8909685317733521,0.3533593350214213,maccs__random_forest,0.4,0.4,1.6,2
similarity_cluster,Modern-augmented,clintox,classification,32,0.5004024235381879,0.1443856189774724,32,0.7219280948873623,-0.0,multiview__lightgbm,0.8,0.8,0.6,1
similarity_cluster,Classical multiview,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0
similarity_cluster,Classical multiview,esol,regression,8,0.2449300267946353,0.1177864450071404,8,-0.0,0.3533593350214213,rdkit2d__random_forest,0.9333333333333332,0.9333333333333332,0.2,1
similarity_cluster,Classical multiview,esol,regression,16,0.3926744672275521,0.1416273766382263,16,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.8,2
similarity_cluster,Classical multiview,esol,regression,32,1.274642625719766,0.3677841190063187,32,0.9967916319816368,0.5194602975157967,multiview__lightgbm_alt,0.4,0.1333333333333333,1.2,2
similarity_cluster,Homogeneous Morgan,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0
similarity_cluster,Homogeneous Morgan,esol,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,2
similarity_cluster,Homogeneous Morgan,esol,regression,16,0.5799151714181009,0.2091601854852918,16,-0.0,0.8366407419411673,hom::order14,0.7333333333333333,0.7333333333333333,1.2,2
similarity_cluster,Homogeneous Morgan,esol,regression,32,0.5799151714181009,0.1673281483882334,32,-0.0,-0.0,hom::order20,0.7333333333333333,0.7333333333333333,1.2,2
similarity_cluster,Modern-augmented,esol,regression,4,0.2449300267946353,0.1766796675107106,4,0.3533593350214213,-0.0,chemberta_mtr__linear,0.9333333333333332,0.9333333333333332,0.4,2
similarity_cluster,Modern-augmented,esol,regression,8,0.3926744672275521,0.1888365021843017,8,0.5665095065529053,-0.0,rdkit2d__linear,0.8666666666666667,0.8666666666666667,0.4,1
similarity_cluster,Modern-augmented,esol,regression,16,0.2449300267946353,0.0883398337553553,16,-0.0,0.3533593350214213,rdkit2d__random_forest,0.9333333333333332,0.9333333333333332,0.2,1
similarity_cluster,Modern-augmented,esol,regression,32,0.3926744672275521,0.113301901310581,32,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.8,2
