pool,pool_order,candidate,representation,family,source
Classical multiview,1,morgan512__linear,morgan512,linear,multiview_base
Classical multiview,2,maccs__linear,maccs,linear,multiview_base
Classical multiview,3,rdkit2d__linear,rdkit2d,linear,multiview_base
Classical multiview,4,multiview__linear,multiview,linear,multiview_base
Classical multiview,5,morgan512__random_forest,morgan512,random_forest,multiview_base
Classical multiview,6,maccs__random_forest,maccs,random_forest,multiview_base
Classical multiview,7,rdkit2d__random_forest,rdkit2d,random_forest,multiview_base
Classical multiview,8,multiview__random_forest,multiview,random_forest,multiview_base
Classical multiview,9,morgan512__lightgbm,morgan512,lightgbm,multiview_base
Classical multiview,10,maccs__lightgbm,maccs,lightgbm,multiview_base
Classical multiview,11,rdkit2d__lightgbm,rdkit2d,lightgbm,multiview_base
Classical multiview,12,multiview__lightgbm,multiview,lightgbm,multiview_base
Classical multiview,13,morgan512__extra_trees,morgan512,extra_trees,new_nested_candidates
Classical multiview,14,maccs__extra_trees,maccs,extra_trees,new_nested_candidates
Classical multiview,15,rdkit2d__extra_trees,rdkit2d,extra_trees,new_nested_candidates
Classical multiview,16,multiview__extra_trees,multiview,extra_trees,new_nested_candidates
Classical multiview,17,morgan512__linear_alt,morgan512,linear_alt,new_nested_candidates
Classical multiview,18,maccs__linear_alt,maccs,linear_alt,new_nested_candidates
Classical multiview,19,rdkit2d__linear_alt,rdkit2d,linear_alt,new_nested_candidates
Classical multiview,20,multiview__linear_alt,multiview,linear_alt,new_nested_candidates
Classical multiview,21,morgan512__random_forest_alt,morgan512,random_forest_alt,new_nested_candidates
Classical multiview,22,maccs__random_forest_alt,maccs,random_forest_alt,new_nested_candidates
Classical multiview,23,rdkit2d__random_forest_alt,rdkit2d,random_forest_alt,new_nested_candidates
Classical multiview,24,multiview__random_forest_alt,multiview,random_forest_alt,new_nested_candidates
Classical multiview,25,morgan512__lightgbm_alt,morgan512,lightgbm_alt,new_nested_candidates
Classical multiview,26,maccs__lightgbm_alt,maccs,lightgbm_alt,new_nested_candidates
Classical multiview,27,rdkit2d__lightgbm_alt,rdkit2d,lightgbm_alt,new_nested_candidates
Classical multiview,28,multiview__lightgbm_alt,multiview,lightgbm_alt,new_nested_candidates
Classical multiview,29,morgan512__xgboost,morgan512,xgboost,new_nested_candidates
Classical multiview,30,maccs__xgboost,maccs,xgboost,new_nested_candidates
Classical multiview,31,rdkit2d__xgboost,rdkit2d,xgboost,new_nested_candidates
Classical multiview,32,multiview__xgboost,multiview,xgboost,new_nested_candidates
Homogeneous Morgan,1,morgan512__linear,morgan512,linear,multiview_base
Homogeneous Morgan,2,hom::order01,morgan512,linear,homogeneous
Homogeneous Morgan,3,hom::order02,morgan512,linear,homogeneous
Homogeneous Morgan,4,hom::order03,morgan512,linear,homogeneous
Homogeneous Morgan,5,hom::order04,morgan512,linear,homogeneous
Homogeneous Morgan,6,hom::order05,morgan512,bagging,homogeneous
Homogeneous Morgan,7,hom::order06,morgan512,bagging,homogeneous
Homogeneous Morgan,8,hom::order07,morgan512,bagging,homogeneous
Homogeneous Morgan,9,hom::order08,morgan512,bagging,homogeneous
Homogeneous Morgan,10,hom::order09,morgan512,bagging,homogeneous
Homogeneous Morgan,11,hom::order10,morgan512,bagging,homogeneous
Homogeneous Morgan,12,hom::order11,morgan512,bagging,homogeneous
Homogeneous Morgan,13,hom::order12,morgan512,bagging,homogeneous
Homogeneous Morgan,14,hom::order13,morgan512,boosting,homogeneous
Homogeneous Morgan,15,hom::order14,morgan512,boosting,homogeneous
Homogeneous Morgan,16,hom::order15,morgan512,boosting,homogeneous
Homogeneous Morgan,17,hom::order16,morgan512,boosting,homogeneous
Homogeneous Morgan,18,hom::order17,morgan512,boosting,homogeneous
Homogeneous Morgan,19,hom::order18,morgan512,boosting,homogeneous
Homogeneous Morgan,20,hom::order19,morgan512,boosting,homogeneous
Homogeneous Morgan,21,hom::order20,morgan512,boosting,homogeneous
Homogeneous Morgan,22,hom::order21,morgan512,boosting,homogeneous
Homogeneous Morgan,23,hom::order22,morgan512,boosting,homogeneous
Homogeneous Morgan,24,hom::order23,morgan512,boosting,homogeneous
Homogeneous Morgan,25,hom::order24,morgan512,boosting,homogeneous
Homogeneous Morgan,26,hom::order25,morgan512,boosting,homogeneous
Homogeneous Morgan,27,hom::order26,morgan512,boosting,homogeneous
Homogeneous Morgan,28,hom::order27,morgan512,boosting,homogeneous
Homogeneous Morgan,29,hom::order28,morgan512,boosting,homogeneous
Homogeneous Morgan,30,hom::order29,morgan512,boosting,homogeneous
Homogeneous Morgan,31,hom::order30,morgan512,boosting,homogeneous
Homogeneous Morgan,32,hom::order31,morgan512,boosting,homogeneous
Modern-augmented,1,morgan512__linear,morgan512,linear,multiview_base
Modern-augmented,2,chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,chemprop_dmpnn:小论文-12_严格补实验
Modern-augmented,3,maccs__linear,maccs,linear,multiview_base
Modern-augmented,4,chemberta_mtr__linear,chemberta_mtr,linear,new_nested_candidates
Modern-augmented,5,rdkit2d__linear,rdkit2d,linear,multiview_base
Modern-augmented,6,chemberta_mlm__linear,chemberta_mlm,linear,new_nested_candidates
Modern-augmented,7,multiview__linear,multiview,linear,multiview_base
