pool,candidate_count,audit_time_seconds,normalized_selected_gain,endpoint_count,design,mean_eligible_candidates
Classical multiview,4,1.1975920255787456,2.0198256088502506,6,equal_K,
Classical multiview,8,3.5738894011359648,1.586857451586296,6,equal_K,
Classical multiview,16,10.96008026114238,1.6245153153149345,6,equal_K,
Classical multiview,32,32.32073641005166,1.4752807543332447,6,equal_K,
Homogeneous Morgan,4,0.4127063266829476,0.9922306092892916,6,equal_K,
Homogeneous Morgan,8,2.08629597443311,0.8988021484074612,6,equal_K,
Homogeneous Morgan,16,15.460467003384188,0.9176767638773414,6,equal_K,
Homogeneous Morgan,32,29.549762687874804,0.9140407474197287,6,equal_K,
Modern-augmented,4,139.7100510111111,1.4294967297749337,6,equal_K,
Modern-augmented,8,141.9868821278027,1.1905844520257245,6,equal_K,
Modern-augmented,16,146.58212700337302,1.362212881077954,6,equal_K,
Modern-augmented,32,194.11887116115992,1.4986331944809075,6,equal_K,
Classical multiview,16,10.030167957805354,1.6377518716067483,6,equal_budget,15.488888888888889
Classical multiview,32,30.430860206716332,1.4750126115345898,6,equal_budget,31.233333333333334
Homogeneous Morgan,16,7.9503269466985405,0.9047719171786821,6,equal_budget,13.722222222222221
Homogeneous Morgan,32,27.274385196738876,0.9140407474197287,6,equal_budget,30.288888888888888
Modern-augmented,16,0.30948596333877887,0.0,6,equal_budget,1.0
Modern-augmented,32,0.30948596333877887,0.0,6,equal_budget,1.0
