split_regime,design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap,paired_homogeneous_best_gain,homogeneous_normalized_selected_gain,homogeneous_normalized_oracle_opportunity,homogeneous_normalized_cross_fitted_gap,homogeneous_denominator_valid
scaffold,equal_K,Classical multiview,bace,classification,11,1,4,4,shared_morgan_linear,rdkit2d__linear,rdkit2d,linear,rdkit2d__linear,0.8123060053981106,0.8477817139001349,0.8477817139001349,0.035475708502024306,0.035475708502024306,0.0,0.06562921727395399,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,1.718066600267775,0.020648622408755937,74.33504067152137,1.0,rdkit2d__linear,0.8477817139001349,0.0,0.05657894736842106,0.6270125223613597,0.6270125223613597,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,1,8,8,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8123060053981106,0.8816717273954117,0.8816717273954117,0.06936572199730107,0.06936572199730107,0.0,0.09951923076923075,0.0,1,1.0,1,1.0,0.33973214285714287,1.0,4.426207300275562,0.01567159359955476,56.41773695839714,1.0,multiview__random_forest,0.8816717273954117,0.0,0.07289979757085008,0.9515214624551693,0.9515214624551693,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,1,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8123060053981106,0.8849021592442645,0.8849021592442645,0.07259615384615392,0.07259615384615392,0.0,0.1027496626180836,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,11.945578200335149,0.0060772406851028055,21.8780664663701,1.0,multiview__extra_trees,0.8849021592442645,0.0,0.07289979757085008,0.9958347795904228,0.9958347795904228,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__random_forest_alt,0.8123060053981106,0.8849021592442645,0.8869601889338732,0.07465418353576259,0.07259615384615392,0.0020580296896086647,0.10480769230769227,0.01963624657956505,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,37.21357390063349,0.0019507976858121146,7.022871668923612,0.9724324935035585,multiview__extra_trees,0.8849021592442645,0.0,0.07289979757085008,0.9958347795904228,1.024065717922021,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,2,4,4,shared_morgan_linear,rdkit2d__linear,rdkit2d,linear,rdkit2d__linear,0.8140691059032309,0.851179602275693,0.851179602275693,0.03711049637246211,0.03711049637246211,0.0,0.03977895506028506,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,1.4778189000207922,0.02511166718191247,90.40200185488489,1.0,rdkit2d__linear,0.851179602275693,0.0,0.06282947961793417,0.5906542056074776,0.5906542056074776,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,2,8,8,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,multiview__random_forest,0.8140691059032309,0.8775444960592934,0.8910172764758078,0.07694817057257686,0.06347539015606252,0.01347278041651434,0.07961662926039981,0.16922068343637214,1,1.0,2,0.5,0.33973214285714287,0.2427315753887762,4.124049100093542,0.01539152144299707,55.40947719478945,0.8249109716805167,multiview__random_forest,0.8910172764758078,0.01347278041651434,0.06795761782974052,0.9340437788018456,1.1322964669738875,0.19825268817204186,True
scaffold,equal_K,Classical multiview,bace,classification,11,2,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8140691059032309,0.8921981836212746,0.8921981836212746,0.07812907771804367,0.07812907771804367,0.0,0.08079753640586662,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,11.615179600543339,0.006726463163289263,24.215267387841347,1.0,multiview__extra_trees,0.8921981836212746,0.0,0.06795761782974052,1.149673579109063,1.149673579109063,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__random_forest_alt,0.8140691059032309,0.8921981836212746,0.8933921394644814,0.07932303356125048,0.07812907771804367,0.0011939558432068065,0.08199149224907343,0.014561947958761992,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,37.181607200647704,0.0021012829622029535,7.564618663930632,0.9849481822668207,multiview__extra_trees,0.8921981836212746,0.0,0.06795761782974052,1.149673579109063,1.1672427035330257,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,3,4,4,shared_morgan_linear,rdkit2d__linear,rdkit2d,linear,rdkit2d__linear,0.7952669902912621,0.8134615384615385,0.8134615384615385,0.018194548170276326,0.018194548170276326,0.0,0.02964899178491409,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,1.6287567997351284,0.011170819469938765,40.214950091779556,1.0,rdkit2d__linear,0.8134615384615385,0.0,0.06532860343539959,0.2785081451843382,0.2785081451843382,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,3,8,8,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,morgan512__random_forest,0.7952669902912621,0.8579070201643016,0.8785754294249442,0.08330843913368202,0.06264002987303952,0.020668409260642506,0.09476288274831979,0.21810659048139672,1,1.0,2,0.5,0.33973214285714287,0.2427315753887762,4.3703298998298115,0.014333020918049878,51.598875304979565,0.7519049753473755,multiview__random_forest,0.87567214339059,0.017765123226288315,0.08166542195668403,0.7670324645633286,1.0201188843164182,0.2175354366712398,True
scaffold,equal_K,Classical multiview,bace,classification,11,3,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.7952669902912621,0.8914861837191932,0.8914861837191932,0.09621919342793106,0.09621919342793106,0.0,0.10767363704256883,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,12.106292599695735,0.007947866172534878,28.612318221125562,1.0,multiview__extra_trees,0.8914861837191932,0.0,0.09370799103808813,1.0267981669655284,1.0267981669655284,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,11,3,32,32,shared_morgan_linear,rdkit2d__random_forest_alt,rdkit2d,random_forest_alt,multiview__extra_trees,0.7952669902912621,0.8630414488424197,0.8914861837191932,0.09621919342793106,0.0677744585511576,0.02844473487677346,0.10767363704256883,0.2641754811836034,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,42.8757560995291,0.0015807175130353435,5.6905830469272365,0.7043756670224138,multiview__extra_trees,0.8914861837191932,0.02844473487677346,0.09553771471247197,0.7094000390854021,1.0071330857924543,0.29773304670705236,True
scaffold,equal_K,Classical multiview,bace,classification,23,1,4,4,shared_morgan_linear,rdkit2d__linear,rdkit2d,linear,rdkit2d__linear,0.8250503307448951,0.8562841530054643,0.8562841530054643,0.031233822260569255,0.031233822260569255,0.0,0.056988783433994605,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,1.863999899826012,0.016756343314978,60.322835933920786,1.0,rdkit2d__linear,0.8562841530054643,0.0,0.04719585849870567,0.6617915904935988,0.6617915904935988,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,23,1,8,8,shared_morgan_linear,multiview__random_forest,multiview,random_forest,rdkit2d__random_forest,0.8250503307448951,0.9003019844693702,0.901926948518838,0.07687661777394295,0.07525165372447506,0.0016249640494678808,0.1026315789473683,0.015832983045943046,1,1.0,3,0.3333333333333333,0.33973214285714287,-0.009691232814965117,4.620161399594506,0.016287667727599216,58.63560381935717,0.9788627010849239,multiview__random_forest,0.9003019844693702,0.0,0.06764452113891273,1.1124574829931986,1.1364795918367352,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,23,1,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,rdkit2d__random_forest,0.8250503307448951,0.9009059534081104,0.901926948518838,0.07687661777394295,0.07585562266321533,0.0010209951107276183,0.1026315789473683,0.009948157489043976,0,-0.23076923076923078,7,0.14285714285714285,0.21129556207681208,-0.08677321431064962,12.916370199236551,0.0058728281624894066,21.142181384961862,0.9867190422745981,multiview__extra_trees,0.9009059534081104,0.0,0.06764452113891273,1.1213860544217695,1.1364795918367352,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,23,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__random_forest_alt,0.8250503307448951,0.9009059534081104,0.9036094334196144,0.07855910267471933,0.07585562266321533,0.0027034800115040003,0.10431406384814468,0.02591673559390494,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,40.462236399180256,0.0018747263970992994,6.749015029557477,0.9655866739886529,multiview__extra_trees,0.9009059534081104,0.0,0.06764452113891273,1.1213860544217695,1.161352040816325,0.0,True
scaffold,equal_K,Classical multiview,bace,classification,23,2,4,4,shared_morgan_linear,maccs__linear,maccs,linear,rdkit2d__linear,0.728133608815427,0.7086469401810311,0.8129058441558441,0.08477223534041711,-0.019486668634395854,0.10425890397481297,0.10425890397481297,0.9999999999904085,0,-3.0,4,0.25,0.5208333333333334,-0.5652173913043479,1.4079594999784595,-0.013840361625951586,-49.825301853425714,-0.22987088350500456,rdkit2d__linear,0.8129058441558441,0.10425890397481297,0.08881837859110586,-0.21939905843256657,0.9544447521462194,1.1738438105787858,True
scaffold,equal_K,Classical multiview,bace,classification,23,2,8,8,shared_morgan_linear,morgan512__random_forest,morgan512,random_forest,multiview__random_forest,0.728133608815427,0.8404417552144825,0.8444571526957891,0.11632354388036215,0.11230814639905551,0.004015397481306637,0.135810212514758,0.02956624105746637,1,1.0,2,0.5,0.33973214285714287,0.2427315753887762,4.076613399782217,0.02754937380254289,99.1777456891544,0.9654807844795681,multiview__random_forest,0.8444571526957891,0.004015397481306637,0.12049267020857923,0.9320745088032668,0.9653993365654516,0.03332482776218479,True
