dataset,task_type,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,family,inner_utility,inner_roc_auc,inner_pr_auc,inner_brier,minority_label,minority_threshold,minority_recall,majority_recall,balanced_recall,minority_constraint_feasible,minority_recall_target,fit_seconds
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-3.0146461743797155,,,,,,,,,,,0.006029099982697517
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-2.7212390992126756,,,,,,,,,,,0.005081700044684112
esol,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-3.226815174355033,,,,,,,,,,,0.0058243999956175685
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-1.8519266250493307,,,,,,,,,,,0.004545299976598471
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-2.0882837287727396,,,,,,,,,,,0.004406500025652349
esol,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-2.1083369035313413,,,,,,,,,,,0.004997299984097481
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-1.3428566049381934,,,,,,,,,,,0.005414200015366077
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-1.9467903843754464,,,,,,,,,,,0.0066707999794743955
esol,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-1.5521635568580734,,,,,,,,,,,0.006109000009018928
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-2.1147816892952624,,,,,,,,,,,0.05169509997358546
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-2.2039702050658336,,,,,,,,,,,0.05915759998606518
esol,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-2.365988961118857,,,,,,,,,,,0.05954959994414821
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-1.234037011840645,,,,,,,,,,,0.08158840000396594
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-2.003427413848117,,,,,,,,,,,0.0842314999899827
esol,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-1.634695052653544,,,,,,,,,,,0.08447309996699914
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-1.3506428051314325,,,,,,,,,,,0.10840899997856468
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-2.1631962037642465,,,,,,,,,,,0.1105536000104621
esol,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-1.6443088641556929,,,,,,,,,,,0.12023749999934807
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-1.3093262410615198,,,,,,,,,,,0.10093049996066839
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-2.133552941922648,,,,,,,,,,,0.08425140002509579
esol,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-1.6118928775734753,,,,,,,,,,,0.08733589999610558
esol,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-1.327283052194274,,,,,,,,,,,0.11537400004453957
esol,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-2.124515681365051,,,,,,,,,,,0.11871530005009845
