dataset,task_type,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,family,inner_utility,inner_roc_auc,inner_pr_auc,inner_brier,minority_label,minority_threshold,minority_recall,majority_recall,balanced_recall,minority_constraint_feasible,minority_recall_target,fit_seconds
tdc_pgp_broccatelli,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8903329439252335,0.8903329439252335,0.9257508876115924,0.13362776702889248,0.0,0.40068983228411775,0.8130841121495327,0.8359375,0.8245108060747663,1.0,0.8,0.0044089999864809215
tdc_pgp_broccatelli,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8650121065375302,0.8650121065375302,0.8704140802732534,0.15177010670079463,0.0,0.5161711426503693,0.8022598870056497,0.7738095238095238,0.7880347054075867,1.0,0.8,0.003317900002002716
tdc_pgp_broccatelli,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8708333333333333,0.8708333333333333,0.9140954151782484,0.15142492657946743,0.0,0.42507023144204525,0.8,0.8048780487804879,0.802439024390244,1.0,0.8,0.0034872000105679035
tdc_pgp_broccatelli,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.8866092289719625,0.8866092289719625,0.9178620384414795,0.13746728155425494,0.0,0.4815137169213883,0.8504672897196262,0.8046875,0.8275773948598131,1.0,0.8,0.005488399998284876
tdc_pgp_broccatelli,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.8578154425612053,0.8578154425612053,0.8562517771869889,0.1630588480008211,0.0,0.626281520328402,0.807909604519774,0.7380952380952381,0.7730024213075061,1.0,0.8,0.0033448999747633934
tdc_pgp_broccatelli,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.849441056910569,0.849441056910569,0.8990022045577402,0.17460635982692999,0.0,0.46172935419983513,0.8,0.7134146341463414,0.7567073170731707,1.0,0.8,0.005707599979359657
tdc_pgp_broccatelli,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.8793078271028036,0.8793078271028036,0.9120340358882746,0.1473551732988838,0.0,0.410547886918336,0.8130841121495327,0.8359375,0.8245108060747663,1.0,0.8,0.008670100010931492
tdc_pgp_broccatelli,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.8433548560667204,0.8433548560667204,0.8265418846678031,0.1924680331952841,0.0,0.7957317732457958,0.8022598870056497,0.6964285714285714,0.7493442292171105,1.0,0.8,0.007470699958503246
tdc_pgp_broccatelli,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.8352642276422765,0.8352642276422765,0.8764654181151588,0.20963761940007064,0.0,0.41888863967700973,0.8166666666666667,0.7073170731707317,0.7619918699186992,1.0,0.8,0.007982000010088086
tdc_pgp_broccatelli,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8863901869158879,0.8863901869158879,0.914805833302091,0.13999847459517137,0.0,0.44613983413757446,0.8037383177570093,0.8046875,0.8042129088785046,1.0,0.8,0.010845499986317009
tdc_pgp_broccatelli,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8605730427764325,0.8605730427764325,0.8438172033102447,0.15757498017681404,0.0,0.6724153908935091,0.807909604519774,0.7261904761904762,0.767050040355125,1.0,0.8,0.010583599971141666
tdc_pgp_broccatelli,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8485264227642275,0.8485264227642275,0.8944580999550111,0.1716472015848405,0.0,0.5350963570928833,0.8,0.7195121951219512,0.7597560975609756,1.0,0.8,0.011990299972239882
tdc_pgp_broccatelli,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.8952248831775702,0.8952248831775702,0.9303756342008471,0.13272104018912528,0.0,0.36666666666666664,0.8037383177570093,0.859375,0.8315566588785046,1.0,0.8,0.13794049998978153
tdc_pgp_broccatelli,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.9092009685230024,0.9092009685230024,0.9086831827840471,0.12774235104669887,0.0,0.48333333333333334,0.8135593220338984,0.875,0.8442796610169492,1.0,0.8,0.1497491000336595
tdc_pgp_broccatelli,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.9029979674796749,0.9029979674796749,0.9331566028313425,0.14731122848200315,0.0,0.38333333333333336,0.8083333333333333,0.8597560975609756,0.8340447154471544,1.0,0.8,0.1280724999960512
