design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap,paired_homogeneous_best_gain,homogeneous_normalized_selected_gain,homogeneous_normalized_oracle_opportunity,homogeneous_normalized_cross_fitted_gap,homogeneous_denominator_valid
equal_K,Classical multiview,bbbp,classification,53,3,4,4,registry_median_order_2,maccs__linear,maccs,linear,rdkit2d__linear,0.8451651672675932,0.8451651672675932,0.8920432667063395,0.04687809943874632,0.0,0.04687809943874632,0.07852300439901527,0.5969982910987192,1,1.0,3,0.3333333333333333,0.5208333333333334,-0.3913043478260871,2.105828500119969,0.0,0.0,0.0,rdkit2d__linear,0.8920432667063395,0.04687809943874632,0.0,,,,False
equal_K,Classical multiview,bbbp,classification,53,3,8,8,registry_median_order_4,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8658767108901879,0.9210802674414532,0.9210802674414532,0.0552035565512653,0.0552035565512653,0.0,0.107560005134129,0.0,1,1.0,1,1.0,0.33973214285714287,1.0,4.9995104003464785,0.011041792521811646,39.75045307852193,1.0,multiview__random_forest,0.9210802674414532,0.0,0.034923746514043064,1.5806882726361444,1.5806882726361444,0.0,True
equal_K,Classical multiview,bbbp,classification,53,3,16,16,registry_median_order_8,rdkit2d__extra_trees,rdkit2d,extra_trees,multiview__random_forest,0.9210802674414532,0.919989265002742,0.9210802674414532,0.0,-0.001091002438711186,0.001091002438711186,0.107560005134129,0.010143198090596462,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,12.227592300332613,-8.92246332650058e-05,-0.3212086797540209,,multiview__extra_trees,0.9187874120488676,-0.0012018529538744271,0.02241514101352382,-0.04867256637167471,0.0,-0.053617907339922964,True
equal_K,Classical multiview,bbbp,classification,53,3,32,32,registry_median_order_16,rdkit2d__extra_trees,rdkit2d,extra_trees,multiview__random_forest,0.9187874120488676,0.919989265002742,0.9210802674414532,0.002292855392585613,0.0012018529538744271,0.001091002438711186,0.107560005134129,0.010143198090596462,0,-0.10344827586206896,5,0.2,0.12682797485739125,0.0838002398561247,31.47407740057679,3.818548637909883e-05,0.13746775096475577,0.5241730279898369,multiview__extra_trees,0.9187874120488676,-0.0012018529538744271,0.07624181748170966,0.01576369758187822,0.030073461891640594,-0.01576369758187822,True
equal_K,Classical multiview,bbbp,classification,71,1,4,4,registry_median_order_2,multiview__linear,multiview,linear,rdkit2d__linear,0.8653508000703358,0.8123263583611746,0.8946017232284156,0.029250923158079756,-0.05302444170916121,0.08227536486724096,0.11022507473184451,0.7464305655192703,1,1.0,3,0.3333333333333333,0.5208333333333334,-0.3913043478260871,2.4424746000440787,-0.021709311412370178,-78.15352108453264,-1.812744214006616,rdkit2d__linear,0.8946017232284156,0.08227536486724096,0.0,,,,False
equal_K,Classical multiview,bbbp,classification,71,1,8,8,registry_median_order_4,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8123263583611746,0.943748901002286,0.943748901002286,0.13142254264111142,0.13142254264111142,0.0,0.15937225250571496,0.0,1,1.0,1,1.0,0.33973214285714287,1.0,5.3680126001127055,0.024482532443823268,88.13711679776377,1.0,multiview__random_forest,0.943748901002286,0.0,0.10587304378406903,1.2413220395283173,1.2413220395283173,0.0,True
equal_K,Classical multiview,bbbp,classification,71,1,16,16,registry_median_order_8,multiview__extra_trees,multiview,extra_trees,rdkit2d__extra_trees,0.943748901002286,0.93519430279585,0.94543696149112,0.0016880604888339645,-0.008554598206436004,0.010242658695269968,0.16106031299454893,0.06359517440868896,1,1.0,2,0.5,0.21129556207681208,0.3660489583187877,12.953622000466567,-0.0006604020254819758,-2.377447291735113,-5.067708333334152,multiview__extra_trees,0.93519430279585,0.0,0.02018639001230882,-0.42378048780489064,0.08362369337977993,0.0,True
equal_K,Classical multiview,bbbp,classification,71,1,32,32,registry_median_order_16,multiview__extra_trees,multiview,extra_trees,multiview__random_forest_alt,0.93519430279585,0.93519430279585,0.9477228767364164,0.01252857394056639,0.0,0.01252857394056639,0.16334622823984535,0.07669949943437734,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,33.271455700160004,0.0,0.0,0.0,multiview__extra_trees,0.93519430279585,0.0,0.08751538596799724,0.0,0.14315852923448064,0.0,True
equal_K,Classical multiview,bbbp,classification,71,2,4,4,registry_median_order_2,multiview__linear,multiview,linear,rdkit2d__linear,0.8284065586398526,0.8515089823654023,0.8643841646262622,0.035977605986409644,0.023102423725549714,0.01287518226085993,0.06343365704696147,0.20297083378190145,1,1.0,3,0.3333333333333333,0.5208333333333334,-0.3913043478260871,2.2679089996963735,0.010186662572723444,36.6719852618044,0.6421334352896225,rdkit2d__linear,0.8643841646262622,0.01287518226085993,0.0,,,,False
equal_K,Classical multiview,bbbp,classification,71,2,8,8,registry_median_order_4,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8515089823654023,0.9168065146221356,0.9168065146221356,0.06529753225673329,0.06529753225673329,0.0,0.11585600704283483,0.0,1,1.0,1,1.0,0.33973214285714287,1.0,5.145107999560422,0.012691187874445406,45.68827634800346,1.0,multiview__random_forest,0.9168065146221356,0.0,0.07809705906627418,0.8361074416556578,0.8361074416556578,0.0,True
