task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
bbbp,classification,53,1,full_multiview,12,2,1.0,1.0,0.5,0.8881118881118882
bbbp,classification,53,1,morgan_only,3,1,1.0,0.0,1.0,1.0
bbbp,classification,53,1,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bbbp,classification,53,1,no_multiview_concat,9,1,1.0,1.0,1.0,0.9333333333333332
bbbp,classification,53,2,full_multiview,12,1,1.0,1.0,1.0,0.8881118881118882
bbbp,classification,53,2,morgan_only,3,2,1.0,0.0,0.5,0.5
bbbp,classification,53,2,fingerprints_only,6,4,0.0,-1.0,0.25,0.6
bbbp,classification,53,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.8166666666666667
bbbp,classification,53,3,full_multiview,12,1,1.0,1.0,1.0,0.7482517482517484
bbbp,classification,53,3,morgan_only,3,2,1.0,0.0,0.5,0.5
bbbp,classification,53,3,fingerprints_only,6,2,1.0,1.0,0.5,0.6571428571428573
bbbp,classification,53,3,no_multiview_concat,9,4,0.0,-0.49999999999999994,0.25,0.6833333333333333
