task,task_type,seed,outer_fold,same_unit_effect,cross_fitted_effect,same_minus_cross
bace,classification,11,1,0.0060138326585692,-0.0019399460188934,0.0079537786774626
bace,classification,11,2,0.0011743827965968,0.0008351166553578,0.00033926614123900006
bace,classification,11,3,0.0249253174010456,0.0205190440627335,0.004406273338312099
bace,classification,23,1,0.0096347425941902,0.0001150417026172,0.009519700891573
bace,classification,23,2,0.0229301948051948,0.0093098189689101,0.0136203758362847
bace,classification,23,3,0.0047561222424611,-0.0004174256223437,0.0051735478648047995
bace,classification,37,1,0.0014431423611111997,0.0063910590277779,-0.0049479166666667
bace,classification,37,2,0.0031983748797906,0.0022367013517456,0.0009616735280450002
bace,classification,37,3,0.0012382096944535,0.0,0.0012382096944535
bace,classification,53,1,0.0058391608391609,0.0,0.0058391608391609
bace,classification,53,2,0.0062720740470101,0.0062720740470101,0.0
bace,classification,53,3,0.0084552845528454,-0.0012757973733583,0.0097310819262037
bace,classification,71,1,-0.021077779704448702,-0.0288037300348727,0.0077259503304239995
bace,classification,71,2,0.0007407407407407,0.0,0.0007407407407407
bace,classification,71,3,0.0033884711779448,0.0,0.0033884711779448
bbbp,classification,11,1,0.0088105534442843,0.0,0.0088105534442843
bbbp,classification,11,2,0.0,0.0,0.0
bbbp,classification,11,3,0.0022902568042788,0.0,0.0022902568042788
bbbp,classification,23,1,0.0015227021040972,0.0,0.0015227021040972
bbbp,classification,23,2,0.0085537918871253,-0.0055849500293944,0.0141387419165197
bbbp,classification,23,3,2.2681908909527596e-05,0.0,2.2681908909527596e-05
bbbp,classification,37,1,0.0046230307576892,-0.0024006001500376,0.007023630907726799
bbbp,classification,37,2,0.0,-0.001798523537654,0.001798523537654
bbbp,classification,37,3,0.0050200030773966,-0.0025773195876287,0.0075973226650253
bbbp,classification,53,1,0.0082626028806583,0.001119898834019,0.007142704046639301
bbbp,classification,53,2,0.0044517138387143,0.0044517138387143,0.0
bbbp,classification,53,3,0.000420065110092,0.000420065110092,0.0
bbbp,classification,71,1,0.0,0.0,0.0
bbbp,classification,71,2,0.0050414041651764,0.0,0.0050414041651764
bbbp,classification,71,3,0.0036948558687688,-0.0012900143334928,0.0049848702022616
clintox,classification,11,1,0.016871318758111,-0.0100828591394629,0.0269541778975739
clintox,classification,11,2,0.0660716709651146,0.0744197095154064,-0.0083480385502918
clintox,classification,11,3,0.0097789115646257,-0.0207270408163267,0.030505952380952397
clintox,classification,23,1,0.0089879872094028,0.0088151413015296,0.00017284590787319982
clintox,classification,23,2,0.0174589201877933,0.0077758215962441,0.009683098591549201
clintox,classification,23,3,0.0328707867574626,0.0229774294402329,0.0098933573172297
clintox,classification,37,1,0.028735632183908004,0.0331143951833606,-0.004378762999452598
clintox,classification,37,2,0.0092592592592593,0.0068835282651072,0.0023757309941521004
clintox,classification,37,3,-0.0070888092393469005,0.0,-0.0070888092393469005
clintox,classification,53,1,0.0,-0.0130367624343528,0.0130367624343528
clintox,classification,53,2,0.0028613174235967,-0.0039368480863669,0.006798165509963601
clintox,classification,53,3,0.0511842105263158,0.0369298245614035,0.014254385964912297
clintox,classification,71,1,0.0,-0.0284496431403648,0.0284496431403648
clintox,classification,71,2,0.022142972275951,0.0065683430045131,0.0155746292714379
clintox,classification,71,3,0.0447016110732922,0.0250453823462671,0.0196562287270251
esol,regression,11,1,0.026481121510028,0.0,0.026481121510028
esol,regression,11,2,0.2706163711928706,0.2706163711928706,0.0
esol,regression,11,3,0.1473306304851669,0.0,0.1473306304851669
esol,regression,23,1,0.0,-0.0485988932510628,0.0485988932510628
esol,regression,23,2,0.20115679877337,0.0855567652798985,0.1156000334934715
esol,regression,23,3,0.1308263477527191,0.0836644826334656,0.04716186511925349
esol,regression,37,1,0.1720463838153707,0.0,0.1720463838153707
esol,regression,37,2,0.0685869099172891,0.0632886555286955,0.00529825438859359
esol,regression,37,3,0.0856392595581831,0.0379958804066253,0.04764337915155781
esol,regression,53,1,0.1942036745579147,0.1942036745579147,0.0
esol,regression,53,2,0.0829485083940133,0.0,0.0829485083940133
esol,regression,53,3,0.1466629879542993,0.0,0.1466629879542993
esol,regression,71,1,0.0925746972803218,0.0,0.0925746972803218
esol,regression,71,2,0.1231111266410398,0.0,0.1231111266410398
esol,regression,71,3,0.1733033518255984,0.1733033518255984,0.0
freesolv,regression,11,1,0.0,0.0815605075381586,-0.0815605075381586
freesolv,regression,11,2,0.01253430579005739,0.1251796691059366,-0.1126453633158792
freesolv,regression,11,3,0.0,-0.18464692188639112,0.18464692188639112
freesolv,regression,23,1,0.0,-0.2183096367695314,0.2183096367695314
freesolv,regression,23,2,0.0,0.1695947666030828,-0.1695947666030828
freesolv,regression,23,3,0.0,-0.18810412594985176,0.18810412594985176
freesolv,regression,37,1,0.0162839723592838,0.0,0.0162839723592838
freesolv,regression,37,2,-0.44834880133030947,-0.44834880133030947,0.0
freesolv,regression,37,3,0.08889886913111633,0.0,0.08889886913111633
freesolv,regression,53,1,0.18023917800194592,0.18023917800194592,0.0
freesolv,regression,53,2,-0.045133351071933225,0.0,-0.045133351071933225
freesolv,regression,53,3,-0.1544557445527457,-0.24471391978473409,0.0902581752319884
freesolv,regression,71,1,0.1503310793739753,0.0270545665593777,0.1232765128145976
freesolv,regression,71,2,-0.23005408755233908,-0.3423840583729224,0.11232997082058332
freesolv,regression,71,3,0.0,0.0818680968572271,-0.0818680968572271
lipo,regression,11,1,0.0218070610854251,0.0218070610854251,0.0
lipo,regression,11,2,0.0051518015290514,0.0051518015290514,0.0
lipo,regression,11,3,0.0039045895903342,0.0039045895903342,0.0
lipo,regression,23,1,0.0173113244002376,0.0173113244002376,0.0
lipo,regression,23,2,0.0,0.0,0.0
lipo,regression,23,3,0.0037584022562717,0.0037584022562717,0.0
lipo,regression,37,1,0.0,0.0,0.0
lipo,regression,37,2,0.0105470815284564,0.0105470815284564,0.0
