candidate_count,chance_adjusted_hit_median,chance_adjusted_hit_q25,chance_adjusted_hit_q75,chance_adjusted_hit_mean,normalized_mrr_gain_median,normalized_mrr_gain_q25,normalized_mrr_gain_q75,normalized_mrr_gain_mean,mrr_median,mrr_q25,mrr_q75,mrr_mean,ndcg_median,ndcg_q25,ndcg_q75,ndcg_mean,spearman_median,spearman_q25,spearman_q75,spearman_mean,kendall_median,kendall_q25,kendall_q75,kendall_mean,rank_percentile_median,rank_percentile_q25,rank_percentile_q75,rank_percentile_mean
4,1.0,1.0,1.0,0.8814814814814815,0.8608695652173914,0.2000000000000001,1.0,0.6727858293075685,0.9333333333333333,0.6166666666666666,1.0,0.8432098765432099,0.9617950468671232,0.8627314311305148,0.9888876690608193,0.9364370463730811,0.8266666666666665,0.6666666666666666,0.8933333333333333,0.7525925925925925,0.7333333333333335,0.577777777777778,0.8444444444444444,0.6913580246913581,0.9555555555555555,0.7333333333333333,1.0,0.8641975308641975
8,0.6799999999999999,0.4666666666666667,0.8933333333333333,0.597037037037037,0.32182405529261515,0.2460972128314928,0.34370069867027275,0.3013096937370095,0.5522222222222222,0.5022222222222222,0.5666666666666667,0.5386772486772488,0.7975143721569853,0.7774448546120787,0.8068603944848689,0.7949151523502475,0.7809523809523811,0.6174603174603176,0.8492063492063494,0.6820961172574926,0.657142857142857,0.4857142857142856,0.7380952380952379,0.5806829761496204,0.7904761904761906,0.761904761904762,0.8571428571428573,0.7671957671957672
16,0.17948717948717957,0.015384615384615436,0.3435897435897436,0.2615384615384616,0.1182042891662757,0.06433827112251131,0.2708922666078502,0.20007000050377918,0.30452380952380953,0.262039442039442,0.42494949494949497,0.3690916593694371,0.6405290194513967,0.589958946686234,0.7303989081182215,0.6634631096228372,0.7245098039215686,0.581764705882353,0.7876470588235294,0.6564173642081893,0.5866666666666667,0.4666666666666666,0.6233333333333333,0.5278282515883687,0.7022222222222222,0.5955555555555556,0.7777777777777779,0.705679012345679
32,0.2643678160919541,0.11724137931034488,0.33793103448275863,0.2398467432950192,0.1568431190855437,0.10128218032964975,0.19659824604050455,0.17534358287850893,0.2637789987789988,0.21526474136669038,0.2984920634920635,0.27993308621517976,0.5642628804478206,0.489213617500085,0.6226603442660963,0.5739862834121524,0.6577468230694036,0.3889837694799657,0.7080400782013684,0.5899014900505659,0.5091397849462366,0.27342753470820885,0.5443548387096775,0.460803582086085,0.8086021505376344,0.6817204301075268,0.8473118279569892,0.7641577060931899
