variant,n_outer_units,chance_adjusted_hit_mean,mrr_mean,spearman_mean
fingerprints_only,135,0.9111111111111111,0.7017283950617283,0.7731216931216932
full_multiview,135,0.5456790123456791,0.5799529688418578,0.7841823933904569
morgan_only,135,,0.8160493827160494,0.7703703703703704
no_multiview_concat,135,0.7666666666666667,0.6126014109347443,0.7735802469135803
