task,seed,outer_fold,left_outer_utility,left_representation,left_family,right_outer_utility,right_representation,right_family,full_utility_max,full_utility_min,full_utility_range,raw_utility_gain,normalized_utility_gain,comparison
bace,71,2,0.8783389450056117,multiview,random_forest,0.8624523007856342,morgan512,lightgbm,0.8783389450056117,0.7420482603815938,0.13629068462401794,0.01588664421997754,0.11656441717791403,attainable multiview gain vs Morgan-only oracle
bace,71,3,0.8709874686716791,multiview,random_forest,0.8632581453634085,morgan512,random_forest,0.8709874686716791,0.7570726817042608,0.1139147869674183,0.007729323308270586,0.06785179970078259,attainable multiview gain vs Morgan-only oracle
clintox,11,1,0.9384546271338724,multiview,lightgbm,0.8434161924727963,morgan512,lightgbm,0.9384546271338724,0.728711190975342,0.20974343615853042,0.09503843466107609,0.45311756306520684,attainable multiview gain vs Morgan-only oracle
clintox,11,2,0.8899653861816208,multiview,lightgbm,0.7801852857336772,morgan512,lightgbm,0.8899653861816208,0.757703271345188,0.1322621148364328,0.10978010044794362,0.8300192431045544,attainable multiview gain vs Morgan-only oracle
clintox,11,3,0.9451530612244898,multiview,lightgbm,0.856327947845805,morgan512,random_forest,0.9451530612244898,0.704719387755102,0.24043367346938782,0.08882511337868482,0.369437076333628,attainable multiview gain vs Morgan-only oracle
clintox,23,1,0.908348457350272,multiview,lightgbm,0.8449140091608331,morgan512,lightgbm,0.908348457350272,0.7234033359260219,0.18494512142425013,0.06343444818943889,0.34299065420560654,attainable multiview gain vs Morgan-only oracle
clintox,23,2,0.9229460093896714,multiview,lightgbm,0.8364730046948358,morgan512,random_forest,0.9229460093896714,0.7933978873239437,0.12954812206572774,0.08647300469483565,0.6674971687429214,attainable multiview gain vs Morgan-only oracle
clintox,23,3,0.9207888988821792,multiview,lightgbm,0.8237826031093408,morgan512,lightgbm,0.9207888988821792,0.6748254743243822,0.24596342455779696,0.09700629577283837,0.3943931742991472,attainable multiview gain vs Morgan-only oracle
clintox,37,1,0.91776135741653,multiview,lightgbm,0.8442346287173874,morgan512,lightgbm,0.91776135741653,0.7705254515599343,0.14723590585659563,0.07352672869914256,0.4993804213135069,attainable multiview gain vs Morgan-only oracle
clintox,37,2,0.9318347953216374,multiview,lightgbm,0.8221856725146199,morgan512,lightgbm,0.9318347953216374,0.7673611111111112,0.16447368421052622,0.10964912280701744,0.6666666666666664,attainable multiview gain vs Morgan-only oracle
