risk_quartile,n,mean_risk,mean_regret,median_regret
Q1 low,160,0.1864999359959037,0.07598270526107014,0.01680054633522365
Q2,113,0.37224057383920356,0.12820978519685902,0.0729813664596215
Q3,134,0.4923879068558895,0.1280208634039575,0.07884114167864455
Q4 high,133,0.675833978186634,0.1690087964850229,0.1262798634812311
