metric,comparison,paired_units,endpoints,mean_paired_effect,endpoint_cluster_ci95_low,endpoint_cluster_ci95_high,endpoint_median_effect,endpoints_in_expected_direction,exact_sign_flip_p,holm_p_across_9_tests
fixed_normalized_regret,K=8 vs K=4,135,9,0.08216908017004669,0.025186104908559086,0.14362264102907732,0.06865988813626105,8,0.0234375,0.046875
fixed_normalized_regret,K=16 vs K=4,135,9,0.08977894336770743,0.04559950614005064,0.13830518571152606,0.0978357334406511,8,0.0078125,0.0390625
fixed_normalized_regret,K=32 vs K=4,135,9,0.12199289678530571,0.0724940886447559,0.17460949908648893,0.11107208206467264,8,0.0078125,0.0390625
chance_adjusted_hit,K=8 vs K=4,135,9,-0.3318518518518519,-0.6044444444444446,-0.041481481481481494,-0.32000000000000006,6,0.0625,0.0625
chance_adjusted_hit,K=16 vs K=4,135,9,-0.547008547008547,-0.7612535612535613,-0.3122507122507122,-0.6564102564102563,9,0.00390625,0.03515625
chance_adjusted_hit,K=32 vs K=4,135,9,-0.6416347381864624,-0.7795657726692211,-0.4424010217113666,-0.6620689655172414,8,0.0078125,0.0390625
mrr,K=8 vs K=4,135,9,-0.3508289241622575,-0.4742513227513227,-0.21789814814814823,-0.36634920634920637,9,0.00390625,0.03515625
mrr,K=16 vs K=4,135,9,-0.4683812175478842,-0.5933278318903318,-0.3401610349527016,-0.526984126984127,9,0.00390625,0.03515625
mrr,K=32 vs K=4,135,9,-0.6049443925088762,-0.6980870144206603,-0.49511951385784503,-0.6625130364110875,9,0.00390625,0.03515625
