component,spearman,endpoint_bootstrap_ci95_low,endpoint_bootstrap_ci95_high,within_endpoint_pool_permutation_p_one_sided
ambiguity_component,0.2287661951819501,0.01302564634843953,0.35244444282008464,0.5476904619076185
instability_component,0.36326229197906607,0.15217155364432539,0.5076545941626095,0.9490101979604079
variability_component,-0.05068244830430836,-0.22048496143251167,0.10146106627092405,0.9202159568086383
selection_risk,0.23514393659070387,0.019091067522874722,0.37836418008807293,0.9526094781043791
