endpoint,repeat,repeat_seed,outer_fold,pool_size,signal_correlation,simulation_replicates,top3_hit,chance_adjusted_hit,mrr,fixed_normalized_regret
bace,4,53,3,32,0.0,500,0.084,-0.010758620689655172,0.12042524903849906,0.27653213703099516
bace,4,53,3,32,0.1,500,0.098,0.004689655172413799,0.13061133723008653,0.22218172920065254
bace,4,53,3,32,0.25,500,0.14,0.0510344827586207,0.16812909867324216,0.1660355628058727
bace,4,53,3,32,0.5,500,0.186,0.10179310344827587,0.19428662270634123,0.1278698205546491
bace,4,53,3,32,0.75,500,0.284,0.2099310344827586,0.2787580648149912,0.10090244698205526
bace,4,53,3,32,1.0,1,1.0,1.0,1.0,0.0
bace,5,71,1,4,0.0,500,0.766,0.064,0.5301666666666668,0.31385418768920237
bace,5,71,1,4,0.1,500,0.762,0.048,0.5655,0.28196367305751724
bace,5,71,1,4,0.25,500,0.834,0.336,0.6211666666666668,0.2488743693239148
bace,5,71,1,4,0.5,500,0.936,0.744,0.7383333333333334,0.1664783047426838
bace,5,71,1,4,0.75,500,0.99,0.96,0.8928333333333333,0.067361251261352
bace,5,71,1,4,1.0,1,1.0,1.0,1.0,0.0
bace,5,71,1,8,0.0,500,0.374,-0.001600000000000005,0.33070952380952384,0.38222805247225
bace,5,71,1,8,0.1,500,0.402,0.04319999999999999,0.3638809523809524,0.307230575176589
bace,5,71,1,8,0.25,500,0.474,0.15839999999999999,0.3924904761904762,0.23652926337033275
bace,5,71,1,8,0.5,500,0.62,0.392,0.48526428571428576,0.12316372351160419
bace,5,71,1,8,0.75,500,0.716,0.5456,0.5300333333333334,0.07048360242179592
bace,5,71,1,8,1.0,1,1.0,1.0,1.0,0.0
bace,5,71,1,16,0.0,500,0.16,-0.03384615384615388,0.20207983682983682,0.2883983350151361
bace,5,71,1,16,0.1,500,0.2,0.015384615384615354,0.22982377622377623,0.23595660948536828
bace,5,71,1,16,0.25,500,0.296,0.13353846153846152,0.27542479464979464,0.18146796165489407
bace,5,71,1,16,0.5,500,0.36,0.21230769230769225,0.32299539627039625,0.12635771947527757
bace,5,71,1,16,0.75,500,0.414,0.27876923076923077,0.37513332223332224,0.0900118567103936
bace,5,71,1,16,1.0,1,1.0,1.0,1.0,0.0
bace,5,71,1,32,0.0,500,0.104,0.011310344827586213,0.14459691680142064,0.24659233097880923
bace,5,71,1,32,0.1,500,0.118,0.026758620689655174,0.15477286180204627,0.20235393541876892
bace,5,71,1,32,0.25,500,0.144,0.05544827586206897,0.15512969329107068,0.17527774974772956
