held_endpoint,selected_model,inner_loeo_mae_ridge,inner_loeo_mae_random_forest,inner_loeo_mae_hist_gradient_boosting
bace,ridge,0.11028730673109619,0.11354814246107772,0.11363056007115026
bbbp,random_forest,0.1117872971557354,0.11107484432976056,0.11239139605673762
clintox,ridge,0.0982135367708776,0.09924725078297185,0.1018506235486337
esol,ridge,0.10846885379193846,0.11522216014568674,0.113843293284713
freesolv,ridge,0.10118463478004752,0.10658274989422023,0.1130185797220421
lipo,random_forest,0.1202285087602945,0.1187139283211533,0.12117377190769538
tdc_caco2_wang,ridge,0.12432233333257679,0.12528543992112284,0.12696107057422007
tdc_hia_hou,ridge,0.10836544790417972,0.11127636714448072,0.10898734987087608
tdc_pgp_broccatelli,random_forest,0.11436688177578756,0.11043917228084577,0.11534278395266129
