endpoint,selected_model,mae,baseline_mae,high_regret_auc,retained_coverage,all_mean_regret,retained_mean_regret,risk_gate_delta
bace,ridge,0.11723850319031719,0.11681774071017893,0.718494271685761,0.5,0.10928438413318539,0.06603918128908222,-0.04324520284410317
bbbp,random_forest,0.10547242813007221,0.12090683944031115,0.666,0.5,0.09581766890588793,0.04926347744453054,-0.04655419146135739
clintox,ridge,0.17799883063569027,0.19324421433013197,0.6297142857142857,0.5,0.24461993305477123,0.18442626287262076,-0.060193670182150466
esol,ridge,0.12204384192157534,0.12191838816442818,0.6000000000000001,0.5,0.09566772796964335,0.057979097007132836,-0.03768863096251051
freesolv,ridge,0.14800981792055193,0.10860538858034549,0.5,0.5,0.14800981792055193,0.12655756678388871,-0.021452251136663214
lipo,random_forest,0.07014394296745663,0.12125701003824994,0.8596491228070176,0.5,0.05120058055445667,0.0206875837759521,-0.03051299677850457
tdc_caco2_wang,ridge,0.049193564899207363,0.09411630070264501,,0.5,0.03945735274689199,0.023895690240535603,-0.015561662506356384
tdc_hia_hou,ridge,0.12511270034826028,0.13654699297351017,0.7106481481481481,0.5,0.19101328860652703,0.13383553884145005,-0.057177749765076974
tdc_pgp_broccatelli,random_forest,0.09508274088081062,0.09073835336505823,0.5,0.5,0.12956098273566186,0.1346381939152339,0.00507721117957205
