dataset,task_type,seed,outer_fold,pool_size,selected_candidate,fixed_k32_reference_candidate,k_dependent_reference_candidate,same_fold_oracle_candidate,selected_utility,fixed_k32_reference_utility,k_dependent_reference_utility,same_fold_oracle_utility,fixed_k32_gap,k_dependent_crossfit_gap,same_fold_opportunity_gap,validation_audit_spearman
bace,classification,11,3,16,rf_90_d12,et_120_d20_leaf2,et_120_d20_leaf2,et_90_leaf2,0.8658793876026885,0.886398431665422,0.886398431665422,0.8889749813293503,0.020519044062733527,0.020519044062733527,0.02309559372666181,0.55
bace,classification,11,3,32,rf_90_d12,et_120_d20_leaf2,et_120_d20_leaf2,lgbm_80_bag0.8,0.8658793876026885,0.886398431665422,0.886398431665422,0.8908047050037341,0.020519044062733527,0.020519044062733527,0.024925317401045644,0.3020527859237536
bace,classification,23,1,4,logreg_l2_c0.1,et_90_leaf2,logreg_l2_c0.1,logreg_l2_c0.1,0.8722461892436008,0.8831751509922348,0.8722461892436008,0.8722461892436008,0.010928961748634003,0.0,0.0,0.7999999999999999
bace,classification,23,1,8,rf_90_leaf2,et_90_leaf2,rf_120_d20_leaf2,rf_90_d12,0.8819672131147541,0.8831751509922348,0.8841242450388266,0.8926948518838078,0.001207937877480636,0.002157031924072461,0.010727638769053693,0.7619047619047621
bace,classification,23,1,16,et_120_d20_leaf2,et_90_leaf2,et_90_leaf2,rf_90_d12,0.8830601092896175,0.8831751509922348,0.8831751509922348,0.8926948518838078,0.00011504170261722457,0.00011504170261722457,0.009634742594190282,0.7647058823529411
bace,classification,23,1,32,et_120_d20_leaf2,et_90_leaf2,et_90_leaf2,rf_90_d12,0.8830601092896175,0.8831751509922348,0.8831751509922348,0.8926948518838078,0.00011504170261722457,0.00011504170261722457,0.009634742594190282,0.7690615835777125
bace,classification,23,2,4,logreg_l2_c0.1,et_90_leaf2,logreg_l2_c0.1,logreg_l2_c0.1,0.8169519874065329,0.8350059031877215,0.8169519874065329,0.8169519874065329,0.018053915781188645,0.0,0.0,0.7999999999999999
bace,classification,23,2,8,rf_120_d20_leaf2,et_90_leaf2,rf_120_d20_leaf2,rf_60_sqrt,0.8389290633608816,0.8350059031877215,0.8389290633608816,0.8486262790240062,-0.0039231601731600785,0.0,0.009697215663124648,0.7619047619047621
bace,classification,23,2,16,rf_120_d20_leaf2,et_90_leaf2,et_90_leaf2,rf_60_sqrt,0.8389290633608816,0.8350059031877215,0.8350059031877215,0.8486262790240062,-0.0039231601731600785,-0.0039231601731600785,0.009697215663124648,0.8558823529411764
bace,classification,23,2,32,lgbm_80_bag0.8,et_90_leaf2,et_90_leaf2,rf_60_sqrt,0.8256960842188114,0.8350059031877215,0.8350059031877215,0.8486262790240062,0.009309818968910144,0.009309818968910144,0.02293019480519487,0.7276392961876832
bace,classification,23,3,4,logreg_l2_c0.1,et_90_leaf2,logreg_l2_c0.1,logreg_l2_c0.1,0.874734365513054,0.88683970856102,0.874734365513054,0.874734365513054,0.012105343047966066,0.0,0.0,0.7999999999999999
bace,classification,23,3,8,rf_90_leaf2,et_90_leaf2,rf_120_d20_leaf2,rf_60_sqrt,0.8872571341833637,0.88683970856102,0.8864475814612427,0.8888635903663226,-0.0004174256223437034,-0.0008095527221210208,0.0016064561829588486,0.8333333333333335
bace,classification,23,3,16,rf_90_leaf2,et_90_leaf2,et_90_leaf2,rf_60_sqrt,0.8872571341833637,0.88683970856102,0.88683970856102,0.8888635903663226,-0.0004174256223437034,-0.0004174256223437034,0.0016064561829588486,0.7235294117647059
bace,classification,23,3,32,rf_90_leaf2,et_90_leaf2,et_90_leaf2,xgb_60_d6,0.8872571341833637,0.88683970856102,0.88683970856102,0.8920132564258249,-0.0004174256223437034,-0.0004174256223437034,0.004756122242461136,0.6037390029325512
bace,classification,37,1,4,logreg_l2_c0.1,et_90_leaf2,logreg_l2_c0.1,logreg_l2_c1,0.8258355034722222,0.8455620659722223,0.8258355034722222,0.8350802951388888,0.019726562500000044,0.0,0.009244791666666585,0.39999999999999997
bace,classification,37,1,8,rf_60_sqrt,et_90_leaf2,rf_90_leaf2,rf_90_leaf2,0.8385742187499999,0.8455620659722223,0.8394639756944444,0.8394639756944444,0.006987847222222343,0.0008897569444444864,0.0008897569444444864,0.6666666666666669
bace,classification,37,1,16,et_60_sqrt,et_90_leaf2,et_90_leaf2,et_90_d12,0.8391710069444444,0.8455620659722223,0.8455620659722223,0.8498589409722221,0.006391059027777923,0.006391059027777923,0.01068793402777779,0.6852941176470588
bace,classification,37,1,32,et_60_sqrt,et_90_leaf2,et_90_leaf2,et_90_d12,0.8391710069444444,0.8455620659722223,0.8455620659722223,0.8498589409722221,0.006391059027777923,0.006391059027777923,0.01068793402777779,0.5835777126099706
