dataset,pool_size,scenario,noise_scale,simulation_replicates,n_audit_units,observed_mean_same_fold_gap,simulated_mean_gap,simulated_gap_interval_low,simulated_gap_interval_high,top1_recovery_mean,top1_recovery_interval_low,top1_recovery_interval_high,observed_within_simulated_95pct_envelope,candidate_variance_cv
bace,4,empirical_correlation_heteroskedastic,0.5,2000,30,0.0013377705313819765,0.0006903506314537061,7.739529863172798e-05,0.0015311179357526824,0.8537000000000001,0.7333333333333333,0.9666666666666667,1,0.12017341201694207
bace,4,empirical_correlation_heteroskedastic,1.0,2000,30,0.0013377705313819765,0.0025183896921172045,0.0009553161701019326,0.004334220791476701,0.6943166666666666,0.5333333333333333,0.8333333333333334,1,0.12017341201694207
bace,4,empirical_correlation_heteroskedastic,2.0,2000,30,0.0013377705313819765,0.005979660116498666,0.003150259117573476,0.009221825647839027,0.5277333333333334,0.36666666666666664,0.7,0,0.12017341201694207
bace,4,independent_homoskedastic,0.5,2000,30,0.0013377705313819765,0.005639473622564609,0.0030371134359533127,0.008850492378778833,0.51775,0.36666666666666664,0.7,0,0.12017341201694207
bace,4,independent_homoskedastic,1.0,2000,30,0.0013377705313819765,0.009396543470963458,0.005622869446393841,0.013735277729045831,0.3952166666666667,0.23333333333333334,0.5666666666666667,0,0.12017341201694207
bace,4,independent_homoskedastic,2.0,2000,30,0.0013377705313819765,0.0123044988530465,0.007820030019386234,0.01731825956709595,0.32245,0.16666666666666666,0.5,0,0.12017341201694207
bace,8,empirical_correlation_heteroskedastic,0.5,2000,30,0.004247527579657432,0.0013855088605913245,0.000456259853888398,0.002869449695863281,0.6925999999999999,0.5333333333333333,0.8333333333333334,0,0.12017341201694207
bace,8,empirical_correlation_heteroskedastic,1.0,2000,30,0.004247527579657432,0.0049731479155004765,0.002151958899539204,0.008456540875933012,0.45465,0.3,0.6333333333333333,1,0.12017341201694207
bace,8,empirical_correlation_heteroskedastic,2.0,2000,30,0.004247527579657432,0.010922516889713298,0.005906206180576069,0.016558232626191542,0.28155,0.13333333333333333,0.43333333333333335,0,0.12017341201694207
bace,8,independent_homoskedastic,0.5,2000,30,0.004247527579657432,0.004996328726841091,0.00297261175661062,0.007541505564272279,0.29745,0.13333333333333333,0.4666666666666667,1,0.12017341201694207
bace,8,independent_homoskedastic,1.0,2000,30,0.004247527579657432,0.008686532020360994,0.005002032794949652,0.012983912913532557,0.22665,0.1,0.4,0,0.12017341201694207
bace,8,independent_homoskedastic,2.0,2000,30,0.004247527579657432,0.013068870605445568,0.007868540305889252,0.019422266454467495,0.17925,0.06666666666666667,0.3333333333333333,0,0.12017341201694207
bace,16,empirical_correlation_heteroskedastic,0.5,2000,30,0.005445436106692888,0.0016487034926906065,0.0007233737956509105,0.002893567621457989,0.5551833333333333,0.4,0.7333333333333333,0,0.12017341201694207
bace,16,empirical_correlation_heteroskedastic,1.0,2000,30,0.005445436106692888,0.00567712718318034,0.0031294591762666413,0.008939860539965956,0.31648333333333334,0.16666666666666666,0.4666666666666667,1,0.12017341201694207
