dataset,seed,outer_fold,pool_size,order_rule,order_replicate,selected_candidate,same_fold_gap,crossfit_gap,mean_inner_fit_seconds_of_eligible
bace,11,1,4,registered,0,logreg_l2_c0.1,0.0,0.0,0.1842759369971673
bace,11,2,4,registered,0,logreg_l2_c0.1,0.0,0.0,0.1842759369971673
bace,11,3,4,registered,0,logreg_l2_c0.1,0.0,0.0,0.1842759369971673
bace,11,1,8,registered,0,rf_90_d12,0.0023869770580298155,-0.005094466936572117,2.1896971555133513
bace,11,2,8,registered,0,rf_90_d12,0.0,-0.0035753431807504787,2.1896971555133513
bace,11,3,8,registered,0,rf_90_d12,0.011053024645257703,0.008625840179238287,2.1896971555133513
bace,11,1,16,registered,0,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,11.779897392542031
bace,11,2,16,registered,0,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,11.779897392542031
bace,11,3,16,registered,0,rf_90_d12,0.02309559372666181,0.020519044062733527,11.779897392542031
bace,11,1,32,registered,0,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140292
bace,11,2,32,registered,0,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140292
bace,11,3,32,registered,0,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140292
bace,11,1,4,crossfit_best_first,0,et_90_leaf2,0.0,-0.001939946018893468,1.8490428074168173
bace,11,2,4,crossfit_best_first,0,et_90_leaf2,0.0008351166553578482,0.0008351166553578482,1.8490428074168173
bace,11,3,4,crossfit_best_first,0,rf_120_d20_leaf2,0.014469753547423525,0.01189320388349524,1.8490428074168173
bace,11,1,8,crossfit_best_first,0,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,2.9485691407613484
bace,11,2,8,crossfit_best_first,0,et_90_leaf2,0.0008351166553578482,0.0008351166553578482,2.9485691407613484
bace,11,3,8,crossfit_best_first,0,rf_120_d20_leaf2,0.016299477221807357,0.01189320388349524,2.9485691407613484
bace,11,1,16,crossfit_best_first,0,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,8.187461596292753
bace,11,2,16,crossfit_best_first,0,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,8.187461596292753
bace,11,3,16,crossfit_best_first,0,rf_90_d12,0.024925317401045644,0.020519044062733527,8.187461596292753
bace,11,1,32,crossfit_best_first,0,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,crossfit_best_first,0,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,crossfit_best_first,0,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,crossfit_worst_first,0,logreg_l2_c1,0.0,0.0,1.1556518740253519
bace,11,2,4,crossfit_worst_first,0,logreg_l2_c1,0.0029946761313222048,0.0,1.1556518740253519
bace,11,3,4,crossfit_worst_first,0,gb_lr0.05_d2,0.04129947722180738,0.03989917849141145,1.1556518740253519
bace,11,1,8,crossfit_worst_first,0,logreg_l2_c1,0.01568825910931171,0.01568825910931171,3.739478803653683
bace,11,2,8,crossfit_worst_first,0,cat_60_d4,0.013792473511143877,0.003979852810689577,3.739478803653683
bace,11,3,8,crossfit_worst_first,0,xgb_100_d3,0.0,-0.015281926811053115,3.739478803653683
bace,11,1,16,crossfit_worst_first,0,xgb_60_d6,0.0,0.0,15.378824325847543
bace,11,2,16,crossfit_worst_first,0,histgb_lr0.1,0.0016310872174957192,0.0016310872174957192,15.378824325847543
bace,11,3,16,crossfit_worst_first,0,xgb_100_d3,0.02496265870052261,0.019520164301717657,15.378824325847543
bace,11,1,32,crossfit_worst_first,0,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,crossfit_worst_first,0,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,crossfit_worst_first,0,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,cost_first,0,logreg_l2_c0.1,0.0,0.0,0.1842759369971673
bace,11,2,4,cost_first,0,logreg_l2_c0.1,0.0,0.0,0.1842759369971673
bace,11,3,4,cost_first,0,logreg_l2_c0.1,0.0,0.0,0.1842759369971673
bace,11,1,8,cost_first,0,lgbm_60_l63,0.0,0.0,0.9167610481079587
bace,11,2,8,cost_first,0,lgbm_60_l63,0.0,0.0,0.9167610481079587
bace,11,3,8,cost_first,0,xgb_60_d3,0.03548356982823009,0.03548356982823009,0.9167610481079587
bace,11,1,16,cost_first,0,et_60_sqrt,0.010382928475033748,0.008670715249662675,2.8106973481028215
bace,11,2,16,cost_first,0,lgbm_80_bag0.8,0.0,-0.0015527950310559868,2.8106973481028215
bace,11,3,16,cost_first,0,et_60_sqrt,0.014787154592979745,0.012453323375653413,2.8106973481028215
bace,11,1,32,cost_first,0,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,cost_first,0,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,cost_first,0,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,1,et_120_d20_leaf2,0.007953778677462942,0.0,1.021819222218322
bace,11,2,4,random,1,et_120_d20_leaf2,0.0,0.0,1.021819222218322
bace,11,3,4,random,1,rf_60_sqrt,0.01615944734876762,0.01615944734876762,1.021819222218322
bace,11,1,8,random,1,et_120_d20_leaf2,0.007953778677462942,0.0,5.075179907398435
bace,11,2,8,random,1,et_120_d20_leaf2,0.0,0.0,5.075179907398435
bace,11,3,8,random,1,rf_60_sqrt,0.01615944734876762,0.01615944734876762,5.075179907398435
bace,11,1,16,random,1,et_120_d20_leaf2,0.007953778677462942,0.0,8.545259022156069
bace,11,2,16,random,1,et_120_d20_leaf2,0.0003392661412390252,0.0,8.545259022156069
bace,11,3,16,random,1,rf_90_d12,0.020519044062733527,0.020519044062733527,8.545259022156069
bace,11,1,32,random,1,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,random,1,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,random,1,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,2,et_90_leaf2,0.0,0.0,5.606498762956579
bace,11,2,4,random,2,et_90_leaf2,0.0,0.0,5.606498762956579
bace,11,3,4,random,2,et_90_leaf2,0.0,0.0,5.606498762956579
bace,11,1,8,random,2,et_90_leaf2,0.0,0.0,11.192526488873195
bace,11,2,8,random,2,et_90_leaf2,0.0,0.0,11.192526488873195
bace,11,3,8,random,2,et_90_leaf2,0.0,0.0,11.192526488873195
bace,11,1,16,random,2,et_90_leaf2,0.004124493927125439,-0.001939946018893468,15.275977566616211
bace,11,2,16,random,2,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,15.275977566616211
bace,11,3,16,random,2,rf_90_d12,0.024925317401045644,0.020519044062733527,15.275977566616211
bace,11,1,32,random,2,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,random,2,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,random,2,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,3,lgbm_100_leaf30,0.002395411605938036,0.0,3.1873640147926006
bace,11,2,4,random,3,histgb_lr0.1,0.0,-0.00668093324286223,3.1873640147926006
bace,11,3,4,random,3,lgbm_120_l15,0.0024178491411500636,0.001997759522031406,3.1873640147926006
bace,11,1,8,random,3,rf_90_d12,0.0,0.0,3.8359824999481327
bace,11,2,8,random,3,rf_90_d12,0.0,0.0,3.8359824999481327
bace,11,3,8,random,3,rf_90_d12,0.01530059746079171,0.0,3.8359824999481327
bace,11,1,16,random,3,rf_90_d12,0.0,-0.011167341430499245,15.1449392369875
bace,11,2,16,random,3,rf_90_d12,0.0,-0.0031708335508116026,15.1449392369875
bace,11,3,16,random,3,rf_90_d12,0.01530059746079171,0.011053024645257703,15.1449392369875
bace,11,1,32,random,3,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,random,3,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,random,3,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,4,et_120_d20_leaf2,0.006064439946018907,0.0,1.6970668666332058
bace,11,2,4,random,4,et_120_d20_leaf2,0.0,0.0,1.6970668666332058
bace,11,3,4,random,4,et_120_d20_leaf2,0.0,0.0,1.6970668666332058
bace,11,1,8,random,4,et_90_leaf2,0.004124493927125439,-0.001939946018893468,7.580716518506286
bace,11,2,8,random,4,et_90_leaf2,0.0008351166553578482,0.0008351166553578482,7.580716518506286
bace,11,3,8,random,4,et_120_d20_leaf2,0.0025765496639282848,0.0,7.580716518506286
bace,11,1,16,random,4,et_90_leaf2,0.004124493927125439,-0.001939946018893468,12.159767929615485
bace,11,2,16,random,4,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,12.159767929615485
bace,11,3,16,random,4,rf_90_d12,0.024925317401045644,0.020519044062733527,12.159767929615485
bace,11,1,32,random,4,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140292
bace,11,2,32,random,4,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140292
bace,11,3,32,random,4,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140292
bace,11,1,4,random,5,et_120_d20_leaf2,0.0,0.0,3.635981007397209
bace,11,2,4,random,5,et_120_d20_leaf2,0.0,0.0,3.635981007397209
bace,11,3,4,random,5,et_120_d20_leaf2,0.0,0.0,3.635981007397209
bace,11,1,8,random,5,et_120_d20_leaf2,0.007953778677462942,0.0,4.693901422207191
bace,11,2,8,random,5,et_120_d20_leaf2,0.0,0.0,4.693901422207191
bace,11,3,8,random,5,rf_60_sqrt,0.01615944734876762,0.01615944734876762,4.693901422207191
bace,11,1,16,random,5,et_120_d20_leaf2,0.007953778677462942,0.0,11.393556811064222
bace,11,2,16,random,5,et_120_d20_leaf2,0.0,0.0,11.393556811064222
bace,11,3,16,random,5,rf_60_sqrt,0.020565720687079736,0.01615944734876762,11.393556811064222
bace,11,1,32,random,5,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140292
bace,11,2,32,random,5,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140292
bace,11,3,32,random,5,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140292
bace,11,1,4,random,6,et_90_leaf2,0.0,0.0,4.225488555574513
bace,11,2,4,random,6,et_90_leaf2,0.0,0.0,4.225488555574513
bace,11,3,4,random,6,rf_90_leaf2,0.012042569081404109,0.012042569081404109,4.225488555574513
bace,11,1,8,random,6,et_90_leaf2,0.0,0.0,6.063825729617814
bace,11,2,8,random,6,et_90_leaf2,0.0,0.0,6.063825729617814
bace,11,3,8,random,6,rf_90_leaf2,0.012042569081404109,0.012042569081404109,6.063825729617814
bace,11,1,16,random,6,et_90_leaf2,0.004124493927125439,0.0,15.802229807365046
bace,11,2,16,random,6,et_90_leaf2,0.0,0.0,15.802229807365046
bace,11,3,16,random,6,rf_90_leaf2,0.012042569081404109,0.012042569081404109,15.802229807365046
bace,11,1,32,random,6,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,random,6,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,random,6,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,7,rf_60_sqrt,0.0,-0.008493589743589713,0.873675825925871
bace,11,2,4,random,7,rf_60_sqrt,0.0,-0.004266924160968744,0.873675825925871
bace,11,3,4,random,7,rf_60_sqrt,0.011006348020910939,0.009438013442867765,0.873675825925871
bace,11,1,8,random,7,rf_90_d12,0.0023869770580298155,-0.006106612685559898,4.056133044409323
bace,11,2,8,random,7,rf_90_d12,0.0,-0.0071506863615010685,4.056133044409323
bace,11,3,8,random,7,rf_90_d12,0.015365944734876846,0.013797610156833673,4.056133044409323
bace,11,1,16,random,7,rf_90_d12,0.0023869770580298155,-0.011167341430499245,10.04631465550348
bace,11,2,16,random,7,rf_90_d12,0.0,-0.0031708335508116026,10.04631465550348
bace,11,3,16,random,7,rf_90_d12,0.024925317401045644,0.011053024645257703,10.04631465550348
bace,11,1,32,random,7,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,random,7,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,random,7,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,8,et_90_leaf2,0.0,0.0,5.629182303703769
bace,11,2,4,random,8,et_90_leaf2,0.0,0.0,5.629182303703769
bace,11,3,4,random,8,et_90_leaf2,0.0,0.0,5.629182303703769
bace,11,1,8,random,8,et_90_leaf2,0.0,0.0,8.595880211106742
bace,11,2,8,random,8,et_90_leaf2,0.0,0.0,8.595880211106742
bace,11,3,8,random,8,rf_120_d20_leaf2,0.014469753547423525,0.014469753547423525,8.595880211106742
bace,11,1,16,random,8,et_90_leaf2,0.004124493927125439,0.0,10.17712758144976
bace,11,2,16,random,8,et_90_leaf2,0.0,0.0,10.17712758144976
bace,11,3,16,random,8,rf_120_d20_leaf2,0.014469753547423525,0.014469753547423525,10.17712758144976
bace,11,1,32,random,8,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140292
bace,11,2,32,random,8,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140292
bace,11,3,32,random,8,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140292
bace,11,1,4,random,9,et_90_leaf2,0.003626855600539658,0.0,0.9509426555337587
bace,11,2,4,random,9,et_90_leaf2,0.0011743827965968734,0.0,0.9509426555337587
bace,11,3,4,random,9,rf_90_d12,0.02309559372666181,0.02309559372666181,0.9509426555337587
bace,11,1,8,random,9,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,4.032122296263911
bace,11,2,8,random,9,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,4.032122296263911
bace,11,3,8,random,9,rf_90_d12,0.02309559372666181,0.020519044062733527,4.032122296263911
bace,11,1,16,random,9,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,8.698421051852938
bace,11,2,16,random,9,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,8.698421051852938
bace,11,3,16,random,9,rf_90_d12,0.024925317401045644,0.020519044062733527,8.698421051852938
bace,11,1,32,random,9,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,random,9,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,random,9,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,10,lgbm_60_l63,0.0043269230769230616,0.0,0.8551477184928775
bace,11,2,4,random,10,lgbm_90_l31,0.006341667101623205,0.005023748629886748,0.8551477184928775
bace,11,3,4,random,10,lgbm_100_leaf10,0.006049290515309891,0.006049290515309891,0.8551477184928775
bace,11,1,8,random,10,et_90_leaf2,0.003626855600539658,0.0,3.295814603666291
bace,11,2,8,random,10,et_90_leaf2,0.0011743827965968734,0.0,3.295814603666291
bace,11,3,8,random,10,rf_90_d12,0.02309559372666181,0.02309559372666181,3.295814603666291
bace,11,1,16,random,10,et_90_leaf2,0.003626855600539658,0.0,6.386103974038699
bace,11,2,16,random,10,et_90_leaf2,0.0011743827965968734,0.0,6.386103974038699
bace,11,3,16,random,10,rf_90_d12,0.024925317401045644,0.02309559372666181,6.386103974038699
bace,11,1,32,random,10,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140292
bace,11,2,32,random,10,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140292
bace,11,3,32,random,10,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140292
bace,11,1,4,random,11,et_120_d20_leaf2,0.0033906882591092646,0.0,0.9636746518533774
bace,11,2,4,random,11,et_120_d20_leaf2,0.0,0.0,0.9636746518533774
bace,11,3,4,random,11,et_120_d20_leaf2,0.004406273338312117,0.0,0.9636746518533774
bace,11,1,8,random,11,et_120_d20_leaf2,0.0033906882591092646,0.0,2.8132687962476015
bace,11,2,8,random,11,et_120_d20_leaf2,0.0,0.0,2.8132687962476015
bace,11,3,8,random,11,et_120_d20_leaf2,0.004406273338312117,0.0,2.8132687962476015
bace,11,1,16,random,11,et_90_leaf2,0.0014507422402157966,-0.001939946018893468,11.27475064808149
bace,11,2,16,random,11,et_90_leaf2,0.0008351166553578482,0.0008351166553578482,11.27475064808149
bace,11,3,16,random,11,rf_90_leaf2,0.01387229275578794,0.009466019417475824,11.27475064808149
bace,11,1,32,random,11,et_90_leaf2,0.0060138326585694735,-0.001939946018893468,23.566285922140295
bace,11,2,32,random,11,et_90_leaf2,0.0011743827965968734,0.0008351166553578482,23.566285922140295
bace,11,3,32,random,11,rf_90_d12,0.024925317401045644,0.020519044062733527,23.566285922140295
bace,11,1,4,random,12,rf_120_d20_leaf2,0.007481443994601933,0.0,3.9558190740644927
bace,11,2,4,random,12,rf_60_sqrt,0.0,-0.0006915809802181538,3.9558190740644927
bace,11,3,4,random,12,rf_120_d20_leaf2,0.006674757281553423,0.0,3.9558190740644927
bace,11,1,8,random,12,rf_120_d20_leaf2,0.007481443994601933,0.0,7.891215785171543
