dataset,seed,outer_fold,pool_size,control,selected_candidate,available_opportunity,same_fold_gap,crossfit_gap,effective_rank,unique_candidates
bace,11,3,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0007710978342045927,0.0002889283047050606,0.0,1.0612812902718638,4
bace,11,1,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_5,0.0008160425101213509,0.0006136133603238392,0.0006136133603238392,1.06022124409576,4
bace,11,2,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.00011221880056366818,0.0,0.0,1.06022124409576,4
bace,11,3,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0010082150858848893,0.0005260455563853572,0.0,1.06022124409576,4
bace,23,1,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,2,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,3,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,1,8,registered,rf_90_leaf2,0.02044866264020706,0.010727638769053693,0.002157031924072461,1.2006290364646175,8
bace,23,2,8,registered,rf_120_d20_leaf2,0.03167429161747337,0.009697215663124648,0.0,1.2006290364646175,8
bace,23,3,8,registered,rf_90_leaf2,0.014129224853268618,0.0016064561829588486,-0.0008095527221210208,1.2006290364646175,8
bace,23,1,16,registered,et_120_d20_leaf2,0.02044866264020706,0.009634742594190282,0.00011504170261722457,1.203221261230993,16
bace,23,2,16,registered,rf_120_d20_leaf2,0.03167429161747337,0.009697215663124648,-0.0039231601731600785,1.203221261230993,16
bace,23,3,16,registered,rf_90_leaf2,0.014129224853268618,0.0016064561829588486,-0.0004174256223437034,1.203221261230993,16
bace,23,1,32,registered,et_120_d20_leaf2,0.02044866264020706,0.009634742594190282,0.00011504170261722457,1.1725960694819013,32
bace,23,2,32,registered,lgbm_80_bag0.8,0.03167429161747337,0.02293019480519487,0.009309818968910144,1.1725960694819013,32
bace,23,3,32,registered,rf_90_leaf2,0.017278890912770906,0.004756122242461136,-0.0004174256223437034,1.1725960694819013,32
bace,23,1,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,2,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,3,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,1,8,weak_added,xgb_100_d3,0.0,0.006169111302847141,0.006169111302847141,1.1818657471890903,8
bace,23,2,8,weak_added,logreg_l2_c0.1,0.0035972550177095775,0.0035972550177095775,0.0,1.1818657471890903,8
bace,23,3,8,weak_added,logreg_l2_c0.1,0.008822859744990974,0.008822859744990974,0.0,1.1818657471890903,8
bace,23,1,16,weak_added,lgbm_60_l15,0.009979867702041956,0.007808455565142314,0.007808455565142314,1.1859518408392378,16
bace,23,2,16,weak_added,xgb_80_d5,0.023366784730420975,0.003984651711924192,-0.003172963400236206,1.1859518408392378,16
bace,23,3,16,weak_added,histgb_lr0.1,0.017025905687108045,0.011011181946974369,0.0,1.1859518408392378,16
bace,23,1,32,weak_added,et_120_d20_leaf2,0.02044866264020706,0.009634742594190282,0.00011504170261722457,1.172596069481901,32
bace,23,2,32,weak_added,lgbm_80_bag0.8,0.03167429161747337,0.02293019480519487,0.009309818968910144,1.172596069481901,32
bace,23,3,32,weak_added,rf_90_leaf2,0.017278890912770906,0.004756122242461136,-0.0004174256223437034,1.172596069481901,32
bace,23,1,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,2,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,3,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.066455418155697,4
bace,23,1,8,complementary_strong_added,et_90_leaf2,0.015271786022433176,0.004342824273799173,0.0,1.2104906106992248,8
bace,23,2,8,complementary_strong_added,lgbm_80_ff0.7,0.03167429161747337,0.011025432900432786,-0.0025949429358519405,1.2104906106992248,8
bace,23,3,8,complementary_strong_added,rf_90_leaf2,0.014129224853268618,0.0016064561829588486,-0.0004174256223437034,1.2104906106992248,8
bace,23,1,16,complementary_strong_added,et_120_d20_leaf2,0.02044866264020706,0.009634742594190282,0.00011504170261722457,1.1888790460958376,16
bace,23,2,16,complementary_strong_added,lgbm_80_ff0.7,0.03167429161747337,0.011025432900432786,-0.0025949429358519405,1.1888790460958376,16
bace,23,3,16,complementary_strong_added,rf_90_leaf2,0.017278890912770906,0.004756122242461136,-0.0004174256223437034,1.1888790460958376,16
bace,23,1,32,complementary_strong_added,et_120_d20_leaf2,0.02044866264020706,0.009634742594190282,0.00011504170261722457,1.1725960694819013,32
bace,23,2,32,complementary_strong_added,lgbm_80_bag0.8,0.03167429161747337,0.02293019480519487,0.009309818968910144,1.1725960694819013,32
bace,23,3,32,complementary_strong_added,rf_90_leaf2,0.017278890912770906,0.004756122242461136,-0.0004174256223437034,1.1725960694819013,32
bace,23,1,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,2,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,3,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,1,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,2,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,3,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,1,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,2,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,3,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556976,4
