source,seed,dataset,inner_fits,outer_fits,total_fits,expected_inner_fits,expected_outer_fits,complete_fit_matrix,nonfinite_inner_utility,nonfinite_outer_utility,summed_fit_seconds
primary_old_seed_classification_rerun,53,bace,288,96,384,288,96,1,0,0,92.75708929938264
primary_old_seed_classification_rerun,53,bbbp,288,96,384,288,96,1,0,0,115.02398820058443
primary_old_seed_classification_rerun,53,clintox,288,96,384,288,96,1,0,0,122.83074510021834
primary_old_seed_classification_rerun,53,tdc_hia_hou,288,96,384,288,96,1,0,0,64.97646430012536
primary_old_seed_classification_rerun,53,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,96.71951590065146
primary_old_seed_classification_rerun,71,bace,288,96,384,288,96,1,0,0,120.42258220002986
primary_old_seed_classification_rerun,71,bbbp,288,96,384,288,96,1,0,0,138.1043365994119
primary_old_seed_classification_rerun,71,clintox,288,96,384,288,96,1,0,0,123.35430759988958
primary_old_seed_classification_rerun,71,tdc_hia_hou,288,96,384,288,96,1,0,0,55.488531899231006
primary_old_seed_classification_rerun,71,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,85.30619269929593
primary_old_seed_regression_split_update,11,esol,288,96,384,288,96,1,0,0,66.24552139977459
primary_old_seed_regression_split_update,11,freesolv,288,96,384,288,96,1,0,0,45.74886159994638
primary_old_seed_regression_split_update,11,lipo,288,96,384,288,96,1,0,0,165.46690419962397
primary_old_seed_regression_split_update,11,tdc_caco2_wang,288,96,384,288,96,1,0,0,86.87170159991365
primary_old_seed_regression_split_update,23,esol,288,96,384,288,96,1,0,0,73.3261475993204
primary_old_seed_regression_split_update,23,freesolv,288,96,384,288,96,1,0,0,49.486509499722146
primary_old_seed_regression_split_update,23,lipo,288,96,384,288,96,1,0,0,166.8854721005191
primary_old_seed_regression_split_update,23,tdc_caco2_wang,288,96,384,288,96,1,0,0,73.97643810021691
primary_old_seed_regression_split_update,37,esol,288,96,384,288,96,1,0,0,61.589619799691704
primary_old_seed_regression_split_update,37,freesolv,288,96,384,288,96,1,0,0,41.69375899911391
primary_old_seed_regression_split_update,37,lipo,288,96,384,288,96,1,0,0,158.7302088002325
primary_old_seed_regression_split_update,37,tdc_caco2_wang,288,96,384,288,96,1,0,0,78.27540290012256
primary_old_seed_regression_split_update,53,esol,288,96,384,288,96,1,0,0,63.89700170030119
primary_old_seed_regression_split_update,53,freesolv,288,96,384,288,96,1,0,0,45.02589409978826
primary_old_seed_regression_split_update,53,lipo,288,96,384,288,96,1,0,0,156.80802420008695
primary_old_seed_regression_split_update,53,tdc_caco2_wang,288,96,384,288,96,1,0,0,76.51632929989135
primary_old_seed_regression_split_update,71,esol,288,96,384,288,96,1,0,0,61.73047360050259
primary_old_seed_regression_split_update,71,freesolv,288,96,384,288,96,1,0,0,44.64711500052361
primary_old_seed_regression_split_update,71,lipo,288,96,384,288,96,1,0,0,155.57954539969796
primary_old_seed_regression_split_update,71,tdc_caco2_wang,288,96,384,288,96,1,0,0,75.01050629961537
primary_additional_seeds,83,bace,288,96,384,288,96,1,0,0,102.00121049996233
primary_additional_seeds,83,bbbp,288,96,384,288,96,1,0,0,126.8846019996563
primary_additional_seeds,83,clintox,288,96,384,288,96,1,0,0,117.94576550036436
primary_additional_seeds,83,esol,288,96,384,288,96,1,0,0,63.04542219935682
primary_additional_seeds,83,freesolv,288,96,384,288,96,1,0,0,45.027909399825134
primary_additional_seeds,83,lipo,288,96,384,288,96,1,0,0,155.4501694990322
primary_additional_seeds,83,tdc_caco2_wang,288,96,384,288,96,1,0,0,77.14276310062269
primary_additional_seeds,83,tdc_hia_hou,288,96,384,288,96,1,0,0,60.086855800298494
primary_additional_seeds,83,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,87.69821699941531
primary_additional_seeds,97,bace,288,96,384,288,96,1,0,0,85.98002169985557
primary_additional_seeds,97,bbbp,288,96,384,288,96,1,0,0,115.27805069915485
primary_additional_seeds,97,clintox,288,96,384,288,96,1,0,0,119.88731730054133
primary_additional_seeds,97,esol,288,96,384,288,96,1,0,0,63.37437610008054
primary_additional_seeds,97,freesolv,288,96,384,288,96,1,0,0,43.372319299727664
primary_additional_seeds,97,lipo,288,96,384,288,96,1,0,0,159.61219709995203
primary_additional_seeds,97,tdc_caco2_wang,288,96,384,288,96,1,0,0,75.49373200006085
primary_additional_seeds,97,tdc_hia_hou,288,96,384,288,96,1,0,0,59.25801509962183
primary_additional_seeds,97,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,86.92499390069861
primary_additional_seeds,113,bace,288,96,384,288,96,1,0,0,101.86715669970727
primary_additional_seeds,113,bbbp,288,96,384,288,96,1,0,0,122.53635079978267
primary_additional_seeds,113,clintox,288,96,384,288,96,1,0,0,114.1023141994956
primary_additional_seeds,113,esol,288,96,384,288,96,1,0,0,62.07867670012637
primary_additional_seeds,113,freesolv,288,96,384,288,96,1,0,0,44.2890780000016
primary_additional_seeds,113,lipo,288,96,384,288,96,1,0,0,152.83799989998806
primary_additional_seeds,113,tdc_caco2_wang,288,96,384,288,96,1,0,0,78.54597659950377
primary_additional_seeds,113,tdc_hia_hou,288,96,384,288,96,1,0,0,59.18292889971052
primary_additional_seeds,113,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,86.02512640028726
primary_additional_seeds,127,bace,288,96,384,288,96,1,0,0,101.00270119943889
primary_additional_seeds,127,bbbp,288,96,384,288,96,1,0,0,122.65765439998358
primary_additional_seeds,127,clintox,288,96,384,288,96,1,0,0,116.96496480057249
primary_additional_seeds,127,esol,288,96,384,288,96,1,0,0,60.89433429983909
primary_additional_seeds,127,freesolv,288,96,384,288,96,1,0,0,42.647068199934424
primary_additional_seeds,127,lipo,288,96,384,288,96,1,0,0,155.56974819966126
primary_additional_seeds,127,tdc_caco2_wang,288,96,384,288,96,1,0,0,75.94687589944806
primary_additional_seeds,127,tdc_hia_hou,288,96,384,288,96,1,0,0,57.44863409851678
primary_additional_seeds,127,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,83.57141259941272
primary_additional_seeds,149,bace,288,96,384,288,96,1,0,0,103.4251874993206
primary_additional_seeds,149,bbbp,288,96,384,288,96,1,0,0,123.03009419963928
primary_additional_seeds,149,clintox,288,96,384,288,96,1,0,0,120.33836000028532
primary_additional_seeds,149,esol,288,96,384,288,96,1,0,0,62.71753579954383
primary_additional_seeds,149,freesolv,288,96,384,288,96,1,0,0,42.22796290024415
primary_additional_seeds,149,lipo,288,96,384,288,96,1,0,0,151.43369200016605
primary_additional_seeds,149,tdc_caco2_wang,288,96,384,288,96,1,0,0,70.78913230064789
primary_additional_seeds,149,tdc_hia_hou,288,96,384,288,96,1,0,0,50.39737119962227
primary_additional_seeds,149,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,72.85237409995169
