dataset,seed,outer_fold,pool_size,selector,selected_candidate,fixed_k32_reference_candidate,outer_roc_auc,outer_pr_auc,outer_minority_recall,outer_majority_recall,outer_balanced_recall,outer_minority_miss_rate,target_metric,target_value,fixed_reference_target_value,fixed_reference_gap,constraint_target,inner_constraint_met
bace,11,1,4,roc_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.8688849527665317,0.8351945655745199,0.8744939271255061,0.7166666666666667,0.7955802968960863,0.1255060728744939,roc_auc,0.8688849527665317,0.877252024291498,0.008367071524966296,,
bace,11,1,4,pr_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.8688849527665317,0.8351945655745199,0.8744939271255061,0.7166666666666667,0.7955802968960863,0.1255060728744939,pr_auc,0.8351945655745199,0.8771280814627366,0.0419335158882167,,
bace,11,1,4,minority_constrained,logreg_l2_c0.1,et_120_d20_leaf2,0.8688849527665317,0.8351945655745199,0.8744939271255061,0.7166666666666667,0.7955802968960863,0.1255060728744939,outer_majority_recall,0.7166666666666667,0.7166666666666667,0.0,0.8,1.0
bace,11,1,8,roc_auc,rf_90_d12,et_120_d20_leaf2,0.8828188259109311,0.8825373977933304,0.8866396761133604,0.7208333333333333,0.8037365047233469,0.11336032388663964,roc_auc,0.8828188259109311,0.877252024291498,-0.005566801619433126,,
bace,11,1,8,pr_auc,rf_90_d12,et_120_d20_leaf2,0.8828188259109311,0.8825373977933304,0.8866396761133604,0.7208333333333333,0.8037365047233469,0.11336032388663964,pr_auc,0.8825373977933304,0.8771280814627366,-0.0054093163305938274,,
bace,11,1,8,minority_constrained,rf_90_leaf2,et_120_d20_leaf2,0.8716514844804318,0.8686828467088683,0.8785425101214575,0.7208333333333333,0.7996879217273953,0.12145748987854255,outer_majority_recall,0.7208333333333333,0.7166666666666667,-0.004166666666666652,0.8,1.0
bace,11,1,16,roc_auc,et_90_leaf2,et_120_d20_leaf2,0.8791919703103914,0.880474431213012,0.8987854251012146,0.7125,0.8056427125506074,0.10121457489878538,roc_auc,0.8791919703103914,0.877252024291498,-0.001939946018893468,,
bace,11,1,16,pr_auc,et_120_d20_leaf2,et_120_d20_leaf2,0.877252024291498,0.8771280814627366,0.8987854251012146,0.7166666666666667,0.8077260458839406,0.10121457489878538,pr_auc,0.8771280814627366,0.8771280814627366,0.0,,
bace,11,1,16,minority_constrained,et_120_d20_leaf2,et_120_d20_leaf2,0.877252024291498,0.8771280814627366,0.8987854251012146,0.7166666666666667,0.8077260458839406,0.10121457489878538,outer_majority_recall,0.7166666666666667,0.7166666666666667,0.0,0.8,1.0
bace,11,1,32,roc_auc,et_90_leaf2,et_120_d20_leaf2,0.8791919703103914,0.880474431213012,0.8987854251012146,0.7125,0.8056427125506074,0.10121457489878538,roc_auc,0.8791919703103914,0.877252024291498,-0.001939946018893468,,
