dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
bace,83,1,32,pr_auc,1,-0.003542175417175386,0.0012297769601844477,0.0146520146520146,0.00385378510378509
bace,83,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,2,8,pr_auc,1,-0.009745193150604847,-0.0053456809853766885,-0.008298755186721962,0.00289287592776577
bace,83,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,97,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,97,1,8,pr_auc,1,-0.014123135647133633,-0.026751619094370183,0.004255319148936176,0.005449918710680679
bace,97,1,16,pr_auc,1,-0.007563441012228833,-0.00672035735354104,0.0,0.0033222591362125353
bace,97,1,32,pr_auc,1,-0.007563441012228833,-0.00672035735354104,0.0,0.0033222591362125353
bace,97,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,97,2,8,pr_auc,1,0.00295963878641059,0.002088428099487616,0.05594405594405594,0.02009801222399643
bace,97,2,16,pr_auc,1,0.005079566103188271,-0.0023618885075959994,0.06293706293706292,0.029500027531523476
bace,97,2,32,pr_auc,1,0.005079566103188271,-0.0023618885075959994,0.06293706293706292,0.029500027531523476
bace,97,3,4,pr_auc,1,-0.01573033707865168,-0.008705974289555996,0.07647058823529407,0.0007821105970478026
bace,97,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,97,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,97,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,113,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,113,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,113,1,16,pr_auc,1,0.0010288065843622185,-0.000644109930524106,-0.004115226337448541,-0.0071251807362917585
bace,113,1,32,pr_auc,1,0.0010288065843622185,-0.000644109930524106,-0.004115226337448541,-0.0071251807362917585
bace,113,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,113,2,8,pr_auc,1,-0.0030615030615029903,0.0020936407350947706,0.0,0.01158301158301156
bace,113,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,113,2,32,pr_auc,1,0.0028470028470027886,0.004082923585016607,-0.015151515151515138,-0.011436761436761533
bace,113,3,4,pr_auc,1,-0.014936329588015052,-0.013901045553861846,0.01200000000000001,-0.018344569288389567
bace,113,3,8,pr_auc,1,-0.0012134831460673956,-0.005278071100350279,0.0040000000000000036,-0.005490636704119867
bace,113,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,113,3,32,pr_auc,1,-0.03586516853932564,-0.04369929973782427,-0.0040000000000000036,-0.031962546816479365
bace,127,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,127,1,8,pr_auc,1,-0.003394106180483636,-0.0002955625728363609,-0.04561403508771933,-0.0015651874785003184
bace,127,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,127,1,32,pr_auc,1,0.0035947712418300526,0.005311251681345053,-0.007017543859649145,-0.01004471964224285
bace,127,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,127,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,127,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,127,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,127,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,127,3,8,pr_auc,1,0.005053959568323552,0.008273371556297704,0.0,0.002450980392156854
bace,127,3,16,pr_auc,1,0.01459188326493388,0.02202307698406958,0.03875968992248069,0.012026903784769782
bace,127,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,1,4,pr_auc,0,0.0,0.0,0.0,0.0
