pool,task,task_type,candidate_count,transformation,n_outer_units,n_matrix_columns,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank
+ChemBERTa,bace,classification,16,raw,15,16,5.718280168253621,2.9230566248308087,0.5464428497973973,0.20718594732175513,"[0.01294912170760969, 0.012949121707609703, 0.013112821133496617, 0.013149768299781399, 0.013340954929806647, 0.014582522578734136, 0.016136538818481323, 0.017018916256455886, 0.020862238230806265, 0.023215475864403586, 0.029842365689173346, 0.034000894269475626, 0.04491463611271672, 0.07100013904689542, 0.09622496401679806, 0.5666995213377556]",0.3573925105158513
+ChemBERTa,bace,classification,16,row_centred,15,16,13.092176241309836,10.627283379165018,-0.03773622968486747,0.5118650868058755,"[0.03199156792536721, 0.03199156792536723, 0.03222281050439086, 0.032357779985903536, 0.03256947507663677, 0.03393544845650043, 0.03624963763568943, 0.03856892004302526, 0.044638063991494385, 0.0504104221722776, 0.06475845191254025, 0.07089355781852034, 0.07396757435880277, 0.0866848011680751, 0.14896837617184874, 0.1897915448535601]",0.8182610150818648
+ChemBERTa,bace,classification,16,shared_morgan_linear_relative,15,16,5.443695171045366,2.841169071649027,0.5777859461030966,0.21103269331351632,"[0.014068846220901139, 0.014180770522863416, 0.014265721458831112, 0.014295373774834313, 0.014822445123965322, 0.01556123679871853, 0.018220148998994726, 0.021307560050216612, 0.023177580926765758, 0.02683936385639751, 0.03761039855943204, 0.04833672979859409, 0.05243460605614939, 0.11046400730110305, 0.574415210552233]",0.3402309481903354
+ChemBERTa,bace,classification,16,fixed_morgan_rf_relative,15,16,8.317303170301171,5.196467807489003,0.3202152327786691,0.25860825918928476,"[0.01724055061261898, 0.017466607837571247, 0.017572175768620708, 0.017792927507913076, 0.018804390453012354, 0.01996067133373108, 0.023558430993275845, 0.030409750908036482, 0.038641785459200745, 0.04127285458443887, 0.06309764629728701, 0.06423971632709972, 0.09442260893686863, 0.1551370243042543, 0.380382858676071]",0.5198314481438232
+ChemBERTa,bace,classification,16,registry_median_relative,15,16,8.317303170301171,5.196467807489003,0.3202152327786691,0.25860825918928476,"[0.01724055061261898, 0.017466607837571247, 0.017572175768620708, 0.017792927507913076, 0.018804390453012354, 0.01996067133373108, 0.023558430993275845, 0.030409750908036482, 0.038641785459200745, 0.04127285458443887, 0.06309764629728701, 0.06423971632709972, 0.09442260893686863, 0.1551370243042543, 0.380382858676071]",0.5198314481438232
+ChemBERTa,bace,classification,16,within_unit_rank,15,16,15.120545198993241,14.167156094905987,-0.030231018124591356,0.7203452576584702,"[0.04502157860365437, 0.045021578603654404, 0.045035225049089224, 0.04531783275066135, 0.045954941070477956, 0.04716237333320164, 0.048039237315955934, 0.05009557493135246, 0.05531322071855931, 0.0602251026891082, 0.0615429795297883, 0.07497623456675606, 0.07723729557283078, 0.0822628805445327, 0.08639271014105282, 0.13040123457932465]",0.9450340749370776
+ChemBERTa,bace,classification,32,raw,15,32,7.661891595246251,3.1504085371831603,0.5336857183288248,0.20295285819364234,"[0.006342276818551299, 0.0063422768185513, 0.006342276818551309, 0.006342276818551309, 0.0063422768185513135, 0.006342276818551314, 0.006342276818551316, 0.006342276818551322, 0.006342276818551324, 0.006342276818551326, 0.006342276818551329, 0.00634227681855133, 0.006342276818551333, 0.006342276818551334, 0.006342276818551338, 0.006342276818551339, 0.006342276818551346, 0.006342276818551371, 0.007550069531320399, 0.008463043602211449, 0.009639781954158325, 0.00993447971242789, 0.011675176160368669, 0.013857403613563477, 0.018008373054734513, 0.020089568324164444, 0.02504454140537292, 0.029514943025725302, 0.0387337805527629, 0.06098541271428709, 0.08307010251140111, 0.5492723411035777]",0.23943411235144535
+ChemBERTa,bace,classification,32,row_centred,15,32,21.57462600701259,14.23052281352988,-0.02690296292132207,0.46824250534388717,"[0.014632578291996448, 0.01463257829199645, 0.014632578291996452, 0.014632578291996459, 0.01463257829199646, 0.01463257829199646, 0.014632578291996469, 0.014632578291996469, 0.014632578291996469, 0.01463257829199647, 0.014632578291996474, 0.014632578291996476, 0.014632578291996478, 0.014632578291996483, 0.014632578291996485, 0.014632578291996486, 0.014632578291996491, 0.014632578291996498, 0.01770426717125944, 0.01787027001993419, 0.019198541181663434, 0.0211972699290657, 0.025468356405894822, 0.026976133807585057, 0.031408197468104894, 0.04238599620109868, 0.04533924622535547, 0.053234877586632395, 0.05904922117174459, 0.07537343732643942, 0.12495040643643028, 0.17645736981285512]",0.6742070627191434
+ChemBERTa,bace,classification,32,shared_morgan_linear_relative,15,32,7.247978707031829,3.0179798313306003,0.5803325090417921,0.20426437864896968,"[0.006589173504805424, 0.006589173504805448, 0.006589173504805451, 0.006589173504805455, 0.006589173504805463, 0.006589173504805466, 0.006589173504805467, 0.006589173504805469, 0.006589173504805473, 0.006589173504805476, 0.006589173504805478, 0.00658917350480548, 0.006589173504805484, 0.006589173504805488, 0.00658917350480549, 0.006589173504805496, 0.006589173504805545, 0.0078092994933091145, 0.008254048558703776, 0.008514899245698827, 0.00899308345330196, 0.010978411993733358, 0.012775479781835835, 0.017946553091050962, 0.020347932140276147, 0.022954379895524894, 0.024427702643843207, 0.03793195412098396, 0.05247987074822241, 0.09302124156449164, 0.5615491936873308]",0.22649933459474467
+ChemBERTa,bace,classification,32,fixed_morgan_rf_relative,15,32,14.326282200574894,7.548844208771207,0.27655701200332594,0.2985465042342425,"[0.009630532394652927, 0.009630532394652962, 0.009630532394652965, 0.009630532394652967, 0.00963053239465297, 0.009630532394652972, 0.009630532394652972, 0.009630532394652981, 0.009630532394652981, 0.009630532394652983, 0.009630532394652986, 0.009630532394652988, 0.009630532394652992, 0.009630532394652993, 0.009630532394652998, 0.009630532394653, 0.009630532394653014, 0.012177530571835182, 0.012939892094509135, 0.013683314103527267, 0.0182379908284278, 0.018965588177129795, 0.024071953677362774, 0.024979781169938917, 0.02908008885771311, 0.0401028846589788, 0.05194941704811446, 0.059647248861000916, 0.09375425614754329, 0.12989955602709968, 0.30679144706771827]",0.44769631876796545
+ChemBERTa,bace,classification,32,registry_median_relative,15,32,11.439416750693868,5.401038821686054,0.3760163469241335,0.2528555388038132,"[0.00815663028399395, 0.008156630283993951, 0.008156630283993957, 0.00815663028399396, 0.008156630283993965, 0.008156630283993965, 0.008156630283993969, 0.008156630283993972, 0.008156630283993974, 0.008156630283993974, 0.00815663028399398, 0.008156630283993981, 0.008156630283993984, 0.008156630283993988, 0.00815663028399399, 0.008156630283994003, 0.008156630283994026, 0.01046335575352732, 0.01095998891743765, 0.011320138647491608, 0.013092011180352213, 0.01680037317318595, 0.01806822516600771, 0.02337223656635338, 0.031874838285365824, 0.03605725236671254, 0.04556828511550918, 0.047819147382601, 0.06233224665090109, 0.1455600847188881, 0.3880491012477688]",0.35748177345918336
+ChemBERTa,bace,classification,32,within_unit_rank,15,32,28.2951963027814,24.29282060668545,-0.01863340514432336,0.6884436211040187,"[0.021513863159500556, 0.021513863159500567, 0.021513863159500574, 0.021513863159500574, 0.021513863159500574, 0.021513863159500577, 0.02151386315950058, 0.02151386315950058, 0.021513863159500584, 0.021513863159500584, 0.021513863159500584, 0.021513863159500584, 0.021513863159500587, 0.02151386315950059, 0.021513863159500598, 0.0215138631595006, 0.0215138631595006, 0.021513863159500622, 0.024158166914184098, 0.025795783292719223, 0.02621478052801863, 0.027319328729604686, 0.027751789079561356, 0.030489675444927606, 0.03373186734240864, 0.0399305974983609, 0.04353126258736172, 0.05164087586178797, 0.05220039779670748, 0.05795684598614134, 0.07426964034607828, 0.09775945172112765]",0.8842248844619187
+ChemBERTa,bbbp,classification,16,raw,15,16,5.66670794886969,3.0587294531040117,0.4838219359126914,0.1731513651798143,"[0.01082196032373839, 0.010821960323738404, 0.010913882401136754, 0.010949356596625416, 0.011439247170548018, 0.011738906719784068, 0.01244507017765974, 0.015554420739624054, 0.019608870830314575, 0.021523636292917047, 0.023586476906906136, 0.03184673081839501, 0.056530715375426116, 0.08287250692753124, 0.12336727134899447, 0.5459789870466606]",0.35416924680435563
+ChemBERTa,bbbp,classification,16,row_centred,15,16,12.66726523818673,9.92909755609703,-0.051853177584283844,0.5114539041489977,"[0.03196586900931234, 0.031965869009312364, 0.032068109623907395, 0.032150626080583306, 0.03247556412099224, 0.03314177023723908, 0.033839921536474936, 0.035989938371098595, 0.039883044101982054, 0.04745843954054883, 0.054522499076385275, 0.062081058449031674, 0.07362008391841747, 0.10856281996449449, 0.1377649093881593, 0.21250947757206057]",0.7917040773866706
+ChemBERTa,bbbp,classification,16,shared_morgan_linear_relative,15,16,6.4020782966378444,3.4835378374363186,0.4625227918304763,0.24621710732963153,"[0.016414473821975424, 0.016478076373331704, 0.016507686754227043, 0.01667438295796506, 0.017050124469206642, 0.01740206875235418, 0.018403283652434113, 0.02131083235405857, 0.029106052320376767, 0.030780116946215064, 0.037586851270850576, 0.05341439128334841, 0.07252179932336955, 0.13003112230604075, 0.506318737414246]",0.4001298935398653
+ChemBERTa,bbbp,classification,16,fixed_morgan_rf_relative,15,16,9.206507882777776,5.739893938786067,0.29199671679095496,0.3860042493457636,"[0.025733616623050903, 0.0258023200147268, 0.025829957852370623, 0.026009222385908866, 0.026537856089661947, 0.02736335711659555, 0.02837305239324098, 0.03094500974500989, 0.03696015926014236, 0.046116602644137986, 0.048407908401616996, 0.06216690624466186, 0.08596329354651859, 0.14158018109688392, 0.36221055658547263]",0.575406742673611
+ChemBERTa,bbbp,classification,16,registry_median_relative,15,16,9.206507882777776,5.739893938786067,0.29199671679095496,0.3860042493457636,"[0.025733616623050903, 0.0258023200147268, 0.025829957852370623, 0.026009222385908866, 0.026537856089661947, 0.02736335711659555, 0.02837305239324098, 0.03094500974500989, 0.03696015926014236, 0.046116602644137986, 0.048407908401616996, 0.06216690624466186, 0.08596329354651859, 0.14158018109688392, 0.36221055658547263]",0.575406742673611
