pool,task,task_type,candidate_count,transformation,n_outer_units,n_matrix_columns,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank
Classical multiview,bace,classification,4,raw,15,4,3.333068863729376,2.835465216275037,0.3475504117463234,0.38474666225683385,"[0.11361760565639145, 0.15663723780119818, 0.20839952702070333, 0.521345629521707]",0.833267215932344
Classical multiview,bace,classification,4,row_centred,15,4,3.926147757455226,3.8605646664336284,-0.09932106203169772,0.726776551189415,"[0.18169413779735377, 0.22974960607439304, 0.29024139376949976, 0.2983148623587534]",0.9815369393638065
Classical multiview,bace,classification,4,shared_morgan_linear_relative,15,4,2.970424125439527,2.9405452009889577,0.08297234279768674,0.7515008484855208,"[0.28663535912552235, 0.3150373573220496, 0.398327283552428]",0.7426060313598818
Classical multiview,bace,classification,4,fixed_morgan_rf_relative,15,4,3.652826694437328,3.347214634209943,0.20296433257904872,0.4676239211702429,"[0.13876529455730982, 0.19629986071561048, 0.232724633570722, 0.4322102111563577]",0.913206673609332
Classical multiview,bace,classification,4,registry_median_relative,15,4,2.191176508826038,1.7982012961168297,0.5253759176523174,0.2160895435295963,"[0.10856661080140695, 0.17460987642997639, 0.7168235127686167]",0.5477941272065096
Classical multiview,bace,classification,4,within_unit_rank,15,4,4.0,4.0,0.0,1.0,"[0.25, 0.25, 0.25, 0.25]",1.0
Classical multiview,bace,classification,8,raw,15,8,4.863067920457271,3.271745906340893,0.4358785340367306,0.28179672121063154,"[0.03625285623149465, 0.04002495039012476, 0.043265619262827695, 0.05693958661243627, 0.07118824924532595, 0.09208378316118139, 0.14831485857425675, 0.5119300965223527]",0.6078834900571589
Classical multiview,bace,classification,8,row_centred,15,8,6.700258530531572,5.63386924362553,-0.11531285512095951,0.44810999391009,"[0.056013749238761276, 0.05923716466178483, 0.07330583998894466, 0.08410513789467779, 0.10356846562378431, 0.14070621224623903, 0.1666848685963679, 0.3163785617494402]",0.8375323163164465
Classical multiview,bace,classification,8,shared_morgan_linear_relative,15,8,4.802432442021861,3.5384659570921584,0.3868468222260083,0.3060580653678262,"[0.045248535355255054, 0.051652547081555325, 0.06377890651013526, 0.08003222699258675, 0.09797546858730079, 0.19073861209113996, 0.47057370338202686]",0.6003040552527327
Classical multiview,bace,classification,8,fixed_morgan_rf_relative,15,8,6.066815738391042,5.3257737424338725,0.15373691182551738,0.44888282784378103,"[0.06742492788362367, 0.07785298029358063, 0.08387265225626313, 0.11947302262064215, 0.1311134129041769, 0.21937007414803314, 0.30089292989368044]",0.7583519672988802
Classical multiview,bace,classification,8,registry_median_relative,15,8,4.479334367807025,3.186899545710271,0.3954298859449071,0.24492790719114263,"[0.03628690830070259, 0.042793093289513535, 0.05374738971001992, 0.08201785517436234, 0.11477557842518017, 0.1575053892773376, 0.5128737858228838]",0.5599167959758782
Classical multiview,bace,classification,8,within_unit_rank,15,8,7.9874653733028165,7.974846996420447,-0.013252341071749402,0.9355901257815763,"[0.11694876572269701, 0.11715801285456061, 0.11908523128788044, 0.12199684404018185, 0.12542921305715066, 0.12919459800908834, 0.13400060428211383, 0.13618673074632723]",0.9984331716628521
Classical multiview,bace,classification,16,raw,15,16,5.6069283398867,2.8594545583487125,0.5452598271012813,0.21566709746368587,"[0.013479193591480363, 0.01347919359148038, 0.013581717520343055, 0.014004903911908862, 0.014126699956812728, 0.014851705364150905, 0.015807650220778225, 0.016107390050109284, 0.019729580175924057, 0.021033383122867615, 0.02779575794556034, 0.036585461739355896, 0.046018285043763894, 0.05334335761937399, 0.10668288595796624, 0.5733728341881242]",0.35043302124291875
Classical multiview,bace,classification,16,row_centred,15,16,11.649048265237175,8.459007765206144,-0.06195536919989405,0.4265160021953779,"[0.026657250137211104, 0.026657250137211107, 0.02678250738978103, 0.02773781670910656, 0.028506924564361522, 0.03015925015164568, 0.03150834924182939, 0.03447215778621257, 0.03864626246634923, 0.04111865261296507, 0.04943994089557496, 0.055275391394304124, 0.08899804793350673, 0.1077701905497095, 0.1276191397454822, 0.2586508682847492]",0.7280655165773234
Classical multiview,bace,classification,16,shared_morgan_linear_relative,15,16,5.425538795707823,2.85405123127833,0.5789009898717297,0.210798634460722,"[0.014053242297381436, 0.01409098031389831, 0.014419171693069473, 0.014683708217196816, 0.014902752437006018, 0.016114157180333037, 0.016455448014100982, 0.019417250984866987, 0.02191871748849823, 0.031164581492198033, 0.036281147243450426, 0.04186724644454021, 0.052601809196085855, 0.12052700123631739, 0.5715027857610567]",0.3390961747317389
Classical multiview,bace,classification,16,fixed_morgan_rf_relative,15,16,10.338105197297448,7.384473116212028,0.19388935048739878,0.36521646023034365,"[0.024347764015356245, 0.024432078518374475, 0.02529093638387888, 0.025888251229766086, 0.027337566108649503, 0.028969231289805362, 0.03188860524405799, 0.03626026580976443, 0.04099300069399733, 0.04239028015064991, 0.06732880202959354, 0.08714646186090773, 0.09504391555820524, 0.16486565826409144, 0.2778171828429018]",0.6461315748310905
Classical multiview,bace,classification,16,registry_median_relative,15,16,12.254774248660926,9.830913605327808,0.11755904980841685,0.5047629314236644,"[0.033650862094910944, 0.03374263681084195, 0.03462046843606277, 0.03528637237463881, 0.0371212859210162, 0.03796431159254407, 0.04247509113998057, 0.04478380917086108, 0.048068331667621256, 0.05787579605406433, 0.06513208689801156, 0.09087297661303162, 0.0999897966754, 0.11943198241511628, 0.21898419213589845]",0.7659233905413079
Classical multiview,bace,classification,16,within_unit_rank,15,16,14.283728146710159,12.599869383857548,-0.03838140305306781,0.6245823928023614,"[0.039036399550147594, 0.039036399550147614, 0.039398271468332906, 0.03976883706086249, 0.0402408850594817, 0.04143935004698556, 0.04431770912245781, 0.04530563226847722, 0.05112721685487898, 0.052591985050129436, 0.0546749313543387, 0.062350419046950954, 0.08469039340224949, 0.0933234317871691, 0.12037199742768556, 0.15232614094970495]",0.8927330091693849
Classical multiview,bace,classification,32,raw,15,32,6.087414131749247,2.5939898406535695,0.5956551147210725,0.1696436960418859,"[0.005301365501308901, 0.00530136550130891, 0.005301365501308912, 0.005301365501308919, 0.005301365501308921, 0.005301365501308923, 0.005301365501308926, 0.005301365501308931, 0.0053013655013089325, 0.005301365501308934, 0.005301365501308937, 0.005301365501308942, 0.005301365501308945, 0.0053013655013089455, 0.005301365501308947, 0.005301365501308949, 0.005301365501308958, 0.005301365501308982, 0.005825205659809235, 0.006197073781077376, 0.007059400665005992, 0.007555854609131042, 0.00854848939353924, 0.009902699904916356, 0.014575212837270082, 0.018403331952437527, 0.022432664572460365, 0.023515023203861854, 0.03866033855286334, 0.04234052327198623, 0.08991081776831002, 0.6096487848037707]",0.19023169161716397
Classical multiview,bace,classification,32,row_centred,15,32,17.883780589709882,10.110966227629739,-0.048890654660892034,0.383630942405926,"[0.011988466950185152, 0.011988466950185165, 0.011988466950185168, 0.011988466950185175, 0.011988466950185179, 0.01198846695018518, 0.011988466950185182, 0.011988466950185184, 0.011988466950185184, 0.011988466950185189, 0.01198846695018519, 0.011988466950185194, 0.0119884669501852, 0.0119884669501852, 0.0119884669501852, 0.011988466950185205, 0.011988466950185211, 0.01198846695018522, 0.01354271682176269, 0.015217555647672016, 0.016856640563344724, 0.01881495138361654, 0.021051636850362144, 0.023057614854295836, 0.027684781922324386, 0.03781658081944281, 0.041691694561152466, 0.05453407463716431, 0.07058024388730093, 0.0851463166862368, 0.10498091428065458, 0.25323187198133645]",0.5588681434284338
