task,candidate_count,comparison,metric,mean_paired_difference,positive_seed_means,negative_seed_means
bace,8,Modern-augmented - Homogeneous Morgan,selected_model_gain,-0.035533493113992634,0,5
bace,8,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.01025927197923331,5,0
bace,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,-0.32,0,3
bace,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.005048456164074821,2,3
bace,16,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.005519126112814821,5,0
bace,16,Classical multiview - Homogeneous Morgan,selected_model_gain,0.006804012314887127,5,0
bace,16,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0018354353569915104,4,1
bace,16,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.24615384615384617,2,1
bace,16,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.384865304351864,5,0
bace,16,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.0012398710716303644,4,1
bace,16,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.0013036702982050102,3,2
bace,16,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.0005054967161017537,3,2
bace,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.49230769230769234,4,1
bace,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.4238049618904358,4,1
bace,32,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.005226535744181171,5,0
bace,32,Classical multiview - Homogeneous Morgan,selected_model_gain,0.00614380473092749,5,0
bace,32,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0024956429409511488,5,0
bace,32,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.2206896551724138,3,1
bace,32,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.20560287303908553,4,1
bace,32,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.0051035110954264756,5,0
