pool,task,task_type,candidate_count,candidate_selection_entropy,candidate_selection_entropy_normalized,entropy_denominator_candidate_count,representation_selection_entropy_normalized,family_selection_entropy_normalized,modal_candidate,modal_candidate_share,leave_one_seed_out_agreement,mean_adjacent_fold_switches_per_seed,max_adjacent_fold_switches
Classical multiview,bace,classification,4,0.8033149761408755,0.5794692661751386,4,0.7312088026202268,-0.0,rdkit2d__linear,0.6666666666666666,0.6666666666666666,1.2,2
Classical multiview,bace,classification,8,0.8608513906312316,0.4139820107353486,8,0.7835807040488098,-0.0,multiview__random_forest,0.6666666666666666,0.6666666666666666,1.0,2
Classical multiview,bace,classification,16,0.953271014705891,0.3438198413848448,16,0.44155167050817345,0.7219280948873623,multiview__extra_trees,0.6666666666666666,0.6666666666666666,1.0,2
Classical multiview,bace,classification,32,1.2048762065511598,0.3476537856152929,32,0.44155167050817345,0.7835807040488098,multiview__extra_trees,0.6,0.6,1.2,2
Classical multiview,bbbp,classification,4,0.9908353864438493,0.7147366491799205,4,0.9018972358711529,-0.0,rdkit2d__linear,0.4666666666666667,0.13333333333333333,1.0,2
Classical multiview,bbbp,classification,8,0.5004024235381879,0.24064269829578747,8,0.7219280948873623,-0.0,multiview__random_forest,0.8,0.8,1.0,2
Classical multiview,bbbp,classification,16,0.8532361505557784,0.3077398907785026,16,0.9182958340544894,0.3533593350214213,multiview__extra_trees,0.6,0.6,1.0,1
Classical multiview,bbbp,classification,32,1.020036958401841,0.2943204522819596,32,0.8366407419411673,0.44155167050817345,multiview__extra_trees,0.6,0.6,1.0,1
Classical multiview,clintox,classification,4,0.48509409130221154,0.3499214199431193,4,0.44155167050817345,-0.0,maccs__linear,0.8666666666666667,0.8666666666666667,0.4,1
Classical multiview,clintox,classification,8,1.0437570363314086,0.5019410334027616,8,0.9500685975366211,-0.0,maccs__random_forest,0.4666666666666667,0.4666666666666667,2.0,2
Classical multiview,clintox,classification,16,0.39267446722755217,0.14162737663822633,16,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.6,2
Classical multiview,clintox,classification,32,1.459481873869085,0.4211174523396521,32,0.9182958340544894,0.8031140135750122,multiview__lightgbm,0.4,0.2,0.8,2
Classical multiview,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0
