candidate,representation,family,pool,pool_order
rdkit2d__linear_alt,rdkit2d,linear_alt,+MoLFormer,24
rdkit2d__random_forest_alt,rdkit2d,random_forest_alt,+MoLFormer,28
rdkit2d__lightgbm_alt,rdkit2d,lightgbm_alt,+MoLFormer,32
multiview__extra_trees,multiview,extra_trees,+MoLFormer,21
multiview__linear_alt,multiview,linear_alt,+MoLFormer,25
multiview__random_forest_alt,multiview,random_forest_alt,+MoLFormer,29
molformer__linear,molformer,linear,+MoLFormer,3
molformer__linear_alt,molformer,linear_alt,+MoLFormer,5
molformer__linear_strong,molformer,linear_strong,+MoLFormer,7
molformer__linear_sparse,molformer,linear_sparse,+MoLFormer,9
molformer__lightgbm,molformer,lightgbm,+MoLFormer,11
morgan512__linear,morgan512,linear,+D-MPNN,1
morgan512__random_forest,morgan512,random_forest,+D-MPNN,6
morgan512__lightgbm,morgan512,lightgbm,+D-MPNN,10
maccs__linear,maccs,linear,+D-MPNN,2
maccs__random_forest,maccs,random_forest,+D-MPNN,7
maccs__lightgbm,maccs,lightgbm,+D-MPNN,11
rdkit2d__linear,rdkit2d,linear,+D-MPNN,4
rdkit2d__random_forest,rdkit2d,random_forest,+D-MPNN,8
rdkit2d__lightgbm,rdkit2d,lightgbm,+D-MPNN,12
multiview__linear,multiview,linear,+D-MPNN,5
multiview__random_forest,multiview,random_forest,+D-MPNN,9
multiview__lightgbm,multiview,lightgbm,+D-MPNN,13
morgan512__extra_trees,morgan512,extra_trees,+D-MPNN,14
morgan512__linear_alt,morgan512,linear_alt,+D-MPNN,18
morgan512__random_forest_alt,morgan512,random_forest_alt,+D-MPNN,22
morgan512__lightgbm_alt,morgan512,lightgbm_alt,+D-MPNN,26
morgan512__xgboost,morgan512,xgboost,+D-MPNN,30
maccs__extra_trees,maccs,extra_trees,+D-MPNN,15
maccs__linear_alt,maccs,linear_alt,+D-MPNN,19
maccs__random_forest_alt,maccs,random_forest_alt,+D-MPNN,23
maccs__lightgbm_alt,maccs,lightgbm_alt,+D-MPNN,27
maccs__xgboost,maccs,xgboost,+D-MPNN,31
rdkit2d__extra_trees,rdkit2d,extra_trees,+D-MPNN,16
rdkit2d__linear_alt,rdkit2d,linear_alt,+D-MPNN,20
rdkit2d__random_forest_alt,rdkit2d,random_forest_alt,+D-MPNN,24
rdkit2d__lightgbm_alt,rdkit2d,lightgbm_alt,+D-MPNN,28
rdkit2d__xgboost,rdkit2d,xgboost,+D-MPNN,32
multiview__extra_trees,multiview,extra_trees,+D-MPNN,17
multiview__linear_alt,multiview,linear_alt,+D-MPNN,21
multiview__random_forest_alt,multiview,random_forest_alt,+D-MPNN,25
multiview__lightgbm_alt,multiview,lightgbm_alt,+D-MPNN,29
chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,+D-MPNN,3
morgan512__linear,morgan512,linear,Full modern-augmented,1
morgan512__random_forest,morgan512,random_forest,Full modern-augmented,9
