design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high
component_ablation,+ChemBERTa,bace,classification,16,shared_morgan_linear,0.07901202784327895,5,15,0.07229795989572857,0.08620843674089997,0.07380935118845709,5,15,0.06520789741538857,0.08299591182353008,0.005202676654821844,5,15,0.0019760855187390828,0.008874550372334334,0.057978949981496865,5,15,0.021629685785481457,0.09918636152928599,0.5076923076923077,5,15,0.2615384615384615,0.7538461538461539,0.3641705848619544,5,15,0.1392353634061762,0.5914537731387741,0.0021720233338956337,5,15,-0.0011806526806526683,0.00665971032784188,10.656196640039948,5,15,10.451237806720501,10.856483533411907,0.0069981918765214075,5,15,0.006256239134132473,0.00784850274870447,25.193490755477065,5,15,22.33808863937345,28.254609895336095,0.9248794221829051,5,15,0.8783464078564933,0.971412436509317
component_ablation,+ChemBERTa,bace,classification,32,shared_morgan_linear,0.08391838307665647,5,15,0.07842243342104335,0.09019704821182678,0.07930969320513923,5,15,0.07159596846104345,0.08687884799946144,0.004608689871517258,5,15,0.0019304510725815405,0.007080487917799893,0.04722283042474325,5,15,0.01901140858598839,0.07242500166736658,0.5586206896551724,5,15,0.33793103448275863,0.7793103448275862,0.49418138242056886,5,15,0.2587689440502675,0.7698896435749758,0.0035019619747853913,5,15,0.0009886975164752861,0.006695163101338308,50.97821018004324,5,15,49.54675846019527,53.2291303332701,0.0015757969540180692,5,15,0.00135532218431927,0.0018122658931157495,5.672869034465049,5,15,4.831527603654421,6.5241572152166984,0.9332166560916931,5,15,0.891116767367555,0.9732884225957779
component_ablation,+ChemBERTa,bbbp,classification,16,shared_morgan_linear,0.11306507227143663,5,15,0.1058623361988753,0.1184671923238669,0.11213093037785915,5,15,0.10407042846798889,0.11771780229462861,0.0009341418935774855,5,15,0.0003724165405449768,0.0016034379684597053,0.009344134013093286,5,15,0.0033632079829669912,0.01677096078359432,1.0,5,15,1.0,1.0,0.746419583327515,5,15,0.5773659722125252,0.9013853935162558,0.0002574926922506234,5,15,-1.0456532195624036e-05,0.0007689565370478047,10.844027053448368,5,15,10.611979526758656,11.08117812007743,0.010324073198972408,5,15,0.009487647266014127,0.010989513692032115,37.166663516300666,5,15,34.15553015765086,39.56224929131562,0.9893266491762212,5,15,0.9816888002216689,0.9964150791175866
component_ablation,+ChemBERTa,bbbp,classification,32,shared_morgan_linear,0.12252228133979778,5,15,0.11716219598491066,0.12651870121465486,0.11838704144322323,5,15,0.11383197533791171,0.12278754399692823,0.004135239896574538,5,15,0.002070972637934535,0.006735624243501041,0.03163858238875036,5,15,0.016356908834855174,0.04958160901310402,1.0,5,15,1.0,1.0,0.5546251165967273,5,15,0.40192515657274813,0.7073250766207064,-0.0006694366385355144,5,15,-0.0035839620279096707,0.001964591468108301,38.252999686810654,5,15,36.789175660038985,39.75861108013584,0.0031008192758865934,5,15,0.002865757675452265,0.0033070812751373768,11.162949393191736,5,15,10.316727631628154,11.905492590494557,0.9654916711278949,5,15,0.9423106888793837,0.9836324460125236
component_ablation,+ChemBERTa,clintox,classification,16,shared_morgan_linear,0.15599705736718164,5,15,0.14349024105206626,0.16850387368229702,0.14232882327936786,5,15,0.1383230084320304,0.14583905495327032,0.01366823408781379,5,15,0.004066863158944008,0.023269605016683577,0.06468034946831555,5,15,0.020724744143799663,0.10863595479283143,0.7538461538461539,5,15,0.5897435897435898,0.9179487179487179,0.5238323286927783,5,15,0.3730928587819123,0.6858420393446437,-0.00375357518344058,5,15,-0.011265382363807771,0.004647692442353841,10.89443353328388,5,15,10.731530580052638,11.05967499995992,0.013085999776028062,5,15,0.012661313413563849,0.013510686138492276,47.10959919370103,5,15,45.58072828882986,48.6384700985722,0.9084823014728938,5,15,0.8474979693930855,0.9694666335527021
component_ablation,+ChemBERTa,clintox,classification,32,shared_morgan_linear,0.18482482458916244,5,15,0.17173669137781528,0.19687550801706905,0.17602339254329571,5,15,0.16206989090814902,0.18853492747513814,0.00880143204586675,5,15,0.0015717509624319614,0.016031113129301538,0.03021312437709463,5,15,0.005533356700529632,0.054892892053659624,0.8528735632183908,5,15,0.7057471264367816,1.0,0.7932188041341947,5,15,0.6214313491072181,0.9618250099940052,0.004768010451661064,5,15,0.0,0.012826489983824806,51.62193403334046,5,15,48.5016262534152,56.13580401315509,0.003469420920028294,5,15,0.0030004605712327112,0.0038842174141925957,12.489915312101859,5,15,10.80165805643776,13.983182691093344,0.9536394421525525,5,15,0.9163205032436311,0.9909583810614737
component_ablation,+ChemBERTa,esol,regression,16,shared_morgan_linear,2.216243670599305,5,15,2.2082070781753007,2.2282261653121536,2.064809789296011,5,15,1.8843112098058452,2.158535078099611,0.1514338813032944,5,15,0.05758315430104268,0.3269347378864458,0.05647198098827074,5,15,0.01524816484376203,0.1227004259904974,0.4256410256410256,5,15,0.2615384615384615,0.5897435897435898,0.3040626342432914,5,15,0.18854266664804828,0.37731919905978706,0.1364760550474044,5,15,0.04275076624380408,0.3169746345375697,3.4128415199656317,5,15,3.276862120034636,3.5569068599259452,0.6053236312968486,5,15,0.5691270317255157,0.6350666459196864,2179.1650726686553,5,15,2048.8573142118566,2286.2399253108715,0.9354912914280871,5,15,0.8745546502950287,0.9689375545390817
component_ablation,+ChemBERTa,esol,regression,32,shared_morgan_linear,2.249501277887353,5,15,2.2300860698865845,2.2689164858881217,2.19242897117381,5,15,2.1907526338180223,2.1957816458853854,0.05707230671354302,5,15,0.039333436068562475,0.07481117735852358,0.02252603488177423,5,15,0.014194654801924245,0.030857414961624207,0.043678160919540236,5,15,-0.10344827586206898,0.19080459770114944,0.025475431615419424,5,15,-0.0029483887822064968,0.05665358029630615,0.01600951398438239,5,15,-0.012340572465096672,0.034958709670831686,21.15670830667562,5,15,19.44107426018066,22.796931320036915,0.10486089862388244,5,15,0.09713962757725979,0.11376925629620387,377.4992350459768,5,15,347.8912918462489,409.56932266633385,0.97498212273639,5,15,0.966322647889465,0.9836415975833146
component_ablation,+ChemBERTa,lipo,regression,16,shared_morgan_linear,0.2942030256595266,5,15,0.2922612533797827,0.2976553719448235,0.2415185815329056,5,15,0.23912697506811909,0.24454010163609113,0.05268444412662099,5,15,0.05099218037927707,0.053931790328539175,0.17304978589410225,5,15,0.16883210842366997,0.17632637915957786,0.5076923076923078,5,15,0.3435897435897436,0.5897435897435898,0.29678393709806267,5,15,0.1441660937303634,0.43179202930795046,0.04146411636715393,5,15,0.04038906003834529,0.04214900749848098,8.180080500070467,5,15,8.091544540016908,8.27939269361862,0.02953636092678983,5,15,0.028900974602550443,0.03014990504173153,106.3308993364434,5,15,104.04350856918158,108.5396581502335,0.8269502141053291,5,15,0.8236736208398454,0.8310155825995217
component_ablation,+ChemBERTa,lipo,regression,32,shared_morgan_linear,0.3663409618826717,5,15,0.3663409618826717,0.3663409618826717,0.3663409618826717,5,15,0.3663409618826717,0.3663409618826717,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0,49.91479223337179,5,15,48.92674242000406,50.820961753457475,0.0073527874273794595,5,15,0.007220282271922554,0.007498486448823095,26.47003473856605,5,15,25.99301617892119,26.994551215763146,1.0,5,15,1.0,1.0
