task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
freesolv,regression,53,2,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-2.4849790318539333,0.0906288999831304
freesolv,regression,53,2,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-3.0000932391090265,0.08852260001003742
freesolv,regression,53,2,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.4747705500273334,0.03087060002144426
freesolv,regression,53,2,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.603337749854512,0.031767599983140826
freesolv,regression,53,2,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.1496560984325495,0.037187700043432415
freesolv,regression,53,2,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.9550636309143092,0.005071100080385804
freesolv,regression,53,2,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.5425230759488087,0.004673299961723387
freesolv,regression,53,2,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.487932803295184,0.004575600032694638
freesolv,regression,53,2,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.5946443244347834,0.11223279999103397
freesolv,regression,53,2,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.590409125188375,0.07816999999340624
freesolv,regression,53,2,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.2569005036315644,0.07967669994104654
freesolv,regression,53,2,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.4433738644455496,0.024823399959132075
freesolv,regression,53,2,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.2709538681042014,0.028830400086008012
freesolv,regression,53,2,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-2.0259351495800786,0.027159100049175322
freesolv,regression,53,2,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.5607369309965735,0.005942000076174736
freesolv,regression,53,2,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.3715878900836158,0.00656510004773736
freesolv,regression,53,2,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.8369081703595056,0.00585830002091825
freesolv,regression,53,2,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-1.5417088693140917,0.10603319993242621
freesolv,regression,53,2,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-1.4211091742262272,0.07575560000259429
freesolv,regression,53,2,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-2.054400805157282,0.09042959997896105
freesolv,regression,53,2,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.6690272319328245,0.044526000041514635
freesolv,regression,53,2,2,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.3815983854458265,0.045999000081792474
freesolv,regression,53,2,3,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.8503471939748446,0.04855229996610433
freesolv,regression,53,2,1,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.2431690880352888,0.021964100073091686
freesolv,regression,53,2,2,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.4851832068547326,0.024220400024205446
freesolv,regression,53,2,3,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.423078438977034,0.02451150002889335
freesolv,regression,53,2,1,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-1.4867400858725652,0.10359959991183132
freesolv,regression,53,2,2,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-1.4389963444217304,0.08698949997778982
freesolv,regression,53,2,3,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-2.099049107777813,0.08395720005501062
freesolv,regression,53,2,1,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-1.7025273860236085,0.06033980008214712
freesolv,regression,53,2,2,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-1.3857953732305357,0.07523930002935231
freesolv,regression,53,2,3,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-1.8230649099203966,0.07222530001308769
freesolv,regression,53,3,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.809453930622837,0.01072959997691214
freesolv,regression,53,3,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.7547605241941544,0.01130449993070215
freesolv,regression,53,3,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-5.904870741423888,0.011201799963600934
freesolv,regression,53,3,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-2.7402187725309317,0.0937581000616774
freesolv,regression,53,3,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-3.6723479591021233,0.09068929997738451
freesolv,regression,53,3,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-4.0617427743627434,0.0903439000248909
freesolv,regression,53,3,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.493290437919992,0.030639000004157424
freesolv,regression,53,3,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.76471251653074,0.03220959997270256
freesolv,regression,53,3,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.664253627516853,0.03260239993687719
freesolv,regression,53,3,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.420499097594188,0.005046500009484589
freesolv,regression,53,3,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.553475030134532,0.004319300060160458
freesolv,regression,53,3,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.3555378489061947,0.004157200106419623
freesolv,regression,53,3,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.61947234248917,0.10568789998069406
freesolv,regression,53,3,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.7038402742375403,0.08493989997077733
freesolv,regression,53,3,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.350695573868843,0.08000950003042817
freesolv,regression,53,3,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.7210218632192726,0.02547160000540316
freesolv,regression,53,3,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-2.4071606323796857,0.02627489995211363
freesolv,regression,53,3,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-2.2313031458099655,0.026890400098636746
freesolv,regression,53,3,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-2.9697956626142616,0.006291799945756793
