task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
bbbp,classification,37,1,full_multiview,12,1,1.0,1.0,1.0,0.8951048951048951
bbbp,classification,37,1,morgan_only,3,2,1.0,0.0,0.5,0.5
bbbp,classification,37,1,fingerprints_only,6,1,1.0,1.0,1.0,0.7714285714285715
bbbp,classification,37,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8666666666666667
bbbp,classification,37,2,full_multiview,12,1,1.0,1.0,1.0,0.9300699300699302
bbbp,classification,37,2,morgan_only,3,1,1.0,0.0,1.0,1.0
bbbp,classification,37,2,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bbbp,classification,37,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.9833333333333333
bbbp,classification,37,3,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.8531468531468532
bbbp,classification,37,3,morgan_only,3,1,1.0,0.0,1.0,1.0
bbbp,classification,37,3,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
bbbp,classification,37,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.8666666666666667
